Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Optional Column
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Pelota parada,,00:30:10,00:30:10,0.000,19,Tiro de esquina,9,10,22,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Pelota parada,,00:40:01,00:40:01,0.000,24,Tiro de esquina,Rival,8,23,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Pelota parada,,00:50:47,00:50:47,0.000,24,Tiro de esquina,Rival,8,22,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Pelota parada,,00:37:56,00:37:56,0.000,19,Lateral largo,Rival,3,20,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Pelota parada,,00:18:45,00:18:45,0.000,14,Tiro libre,Rival,8,17,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Pelota parada,,00:43:56,00:43:56,0.000,14,Tiro libre,2,10,23,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Pelota parada,,00:57:00,00:57:00,0.000,13,Tiro libre,Rival,10,21,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Recuperacion,,00:11:30,00:11:30,0.000,7,Encontrada,,3,Volver,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Perdida,,00:11:37,00:11:37,0.000,14,Interceptado,,1,Volver,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Pelota parada,,00:12:22,00:12:22,0.000,7,Lateral largo,Rival,3,13,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Duelo,,00:12:26,00:12:26,0.000,7,Aereo,,6,Volver,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Perdida,,00:12:30,00:12:30,0.000,13,Duelo,,9,Volver,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Pelota parada,,00:12:56,00:12:56,0.000,9,Lateral largo,Rival,4,15,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Perdida,,00:12:57,00:12:57,0.000,9,Interceptado,,4,Volver,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Recuperacion,,00:12:59,00:12:59,0.000,11,Intercepcion,,5,Volver,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Duelo,,00:13:03,00:13:03,0.000,11,Gambeta a favor,,7,Volver,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Duelo,,00:13:05,00:13:05,0.000,14,Disputa suelo,,7,Volver,
2022/05/12,GELP_PPRDP,GELP_PPRDPfinal,14:50:52,17:17:02,Perdida,,00:13:05,00:13:05,0.000,14,Duelo,,7,Volver,
