Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Optional Column
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,Perdida,,00:24:05,00:24:05,0.000,7,Balon afuera lateral,,3,Volver,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,Perdida,,00:24:25,00:24:25,0.000,14,Duelo,,11,Volver,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,Recuperacion,,00:24:36,00:24:36,0.000,10,Duelo,,8,Volver,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,Perdida,,00:24:50,00:24:50,0.000,16,Interceptado,11,9,16,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,Duelo,,00:24:22,00:24:22,0.000,13,Disputa suelo,,11,Volver,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,Duelo,,00:24:35,00:24:35,0.000,10,Disputa suelo,,8,Volver,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,Duelo,,00:25:06,00:25:06,0.000,7,Disputa suelo,,6,Volver,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,Recuperacion,,00:25:07,00:25:07,0.000,7,Duelo,,6,Volver,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,Duelo,,00:25:43,00:25:43,0.000,13,Disputa suelo,,9,Volver,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,Perdida,,00:25:54,00:25:54,0.000,24,Interceptado,11,7,21,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,Pelota parada,,00:26:22,00:26:22,0.000,24,Lateral largo,9,4,23,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,Perdida,,00:26:26,00:26:26,0.000,23,intercepcion aereo,,9,Volver,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,Perdida,,00:26:45,00:26:45,0.000,21,Atajada,,9,Volver,
