Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Optional Column
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Recuperacion,,00:00:25,00:00:25,0.000,7,Encontrada,,3,Volver,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Perdida,,00:00:28,00:00:28,0.000,7,Interceptado,11,3,10,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Recuperacion,,00:00:38,00:00:38,0.000,4,Intercepcion,,6,Volver,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Duelo,,00:00:43,00:00:43,0.000,11,Gambeta a favor,,11,Volver,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Perdida,,00:00:47,00:00:47,0.000,11,Error tecnico,7,11,17,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Duelo,,00:00:59,00:00:59,0.000,9,Aereo,,4,Volver,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Perdida,,00:01:02,00:01:02,0.000,9,Balon afuera lateral,,2,Volver,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Recuperacion,,00:01:20,00:01:20,0.000,5,Robo,,2,Volver,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Pelota parada,,00:02:13,00:02:13,0.000,12,Lateral largo,9,4,18,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Pelota parada,,00:02:33,00:02:33,0.000,18,Lateral largo,9,4,23,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Recuperacion,,00:02:36,00:02:36,0.000,18,Encontrada,,4,Volver,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Perdida,,00:02:40,00:02:40,0.000,17,Error tecnico,,4,Volver,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Pelota parada,,00:03:02,00:03:02,0.000,10,Lateral largo,11,3,13,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Duelo,,00:03:06,00:03:06,0.000,13,Disputa suelo,,11,Volver,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Perdida,,00:03:07,00:03:07,0.000,13,Duelo,,11,Volver,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Duelo,,00:03:14,00:03:14,0.000,11,Aereo,,5,Volver,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Recuperacion,,00:03:15,00:03:15,0.000,11,Duelo,,5,Volver,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Duelo,,00:03:17,00:03:17,0.000,13,Gambeta a favor,,10,Volver,
2022/04/28,COLON_2T,COLON2T,12:05:04,12:53:31,Perdida,,00:03:22,00:03:22,0.000,13,Duelo,,10,Volver,
