Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Optional Column
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:22:43,00:22:43,0.000,8,Error tecnico,9,2,17,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:23:10,00:23:10,0.000,13,Disputa suelo,,7,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:23:11,00:23:11,0.000,13,Robo,,7,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,00:24:43,00:24:43,0.000,16,Lateral largo,9,3,19,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:25:19,00:25:19,0.000,11,Encontrada,,9,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:25:29,00:25:29,0.000,19,Disputa suelo,,9,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:25:30,00:25:30,0.000,19,Duelo,,9,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:25:35,00:25:35,0.000,17,Encontrada,,10,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:26:50,00:26:50,0.000,9,Interceptado,9,4,18,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:27:24,00:27:24,0.000,6,Aereo,,4,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:27:24,00:27:24,0.000,6,Duelo,,4,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:27:27,00:27:27,0.000,9,Balon afuera lateral,,10,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:27:41,00:27:41,0.000,9,Disputa suelo,,4,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:27:41,00:27:41,0.000,9,Robo,,4,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:27:43,00:27:43,0.000,9,Interceptado,,4,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:30:16,00:30:16,0.000,9,Encontrada,,2,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:30:19,00:30:19,0.000,11,Error tecnico,,8,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:31:04,00:31:04,0.000,14,Aereo,,9,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:31:23,00:31:23,0.000,15,Aereo,,10,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:31:24,00:31:24,0.000,15,Duelo,,10,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:31:29,00:31:29,0.000,15,Encontrada,,5,,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,00:32:12,00:32:12,0.000,15,Lateral largo,10,4,18,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:34:06,00:34:06,0.000,11,Error tecnico,,3,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,00:35:56,00:35:56,0.000,17,Tiro libre,4,10,21,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:35:59,00:35:59,0.000,17,Interceptado,4,10,21,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:36:37,00:36:37,0.000,7,Intercepcion,,3,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:36:51,00:36:51,0.000,7,Interceptado,9,5,13,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:37:33,00:37:33,0.000,2,Aereo,,6,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:38:49,00:38:49,0.000,14,Disputa suelo,,10,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:38:49,00:38:49,0.000,14,Duelo,,10,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:38:52,00:38:52,0.000,13,Disputa suelo,,7,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:38:53,00:38:53,0.000,13,Robo,,7,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:39:13,00:39:13,0.000,24,Gambeta a favor,,4,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:39:20,00:39:20,0.000,17,Gambeta a favor,,5,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:39:27,00:39:27,0.000,19,Disputa suelo,,7,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:39:29,00:39:29,0.000,19,Balon afuera lateral,,7,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,00:40:07,00:40:07,0.000,16,Lateral largo,9,3,20,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:40:09,00:40:09,0.000,20,Interceptado,,9,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,00:42:15,00:42:15,0.000,19,Tiro de esquina,9,10,21,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:42:17,00:42:17,0.000,21,Balon afuera fondo,,9,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:45:13,00:45:13,0.000,10,Gambeta a favor,,3,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:45:15,00:45:15,0.000,10,Duelo,,3,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,00:46:43,00:46:43,0.000,5,Tiro libre,11,1,15,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,00:47:32,00:47:32,0.000,15,Tiro libre,6,5,20,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:47:35,00:47:35,0.000,17,intercepcion aereo,,7,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:47:40,00:47:40,0.000,14,Robo,,4,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,00:48:13,00:48:13,0.000,18,Lateral largo,9,4,23,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:48:14,00:48:14,0.000,18,Interceptado,9,4,23,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:49:06,00:49:06,0.000,9,Encontrada,,4,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:49:10,00:49:10,0.000,9,Gambeta a favor,,4,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,00:49:37,00:49:37,0.000,12,Lateral largo,11,4,18,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,00:50:02,00:50:02,0.000,18,Lateral largo,9,4,18,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,00:50:42,00:50:42,0.000,24,Tiro de esquina,6,5,22,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:51:48,00:51:48,0.000,4,Encontrada,,1,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:52:05,00:52:05,0.000,14,Interceptado,9,1,14,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:52:08,00:52:08,0.000,10,Aereo,,3,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:52:09,00:52:09,0.000,10,Intercepcion aereo,,3,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:52:12,00:52:12,0.000,11,Gambeta a favor,,5,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:52:15,00:52:15,0.000,11,Interceptado,11,5,14,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,00:52:35,00:52:35,0.000,7,Lateral corto,6,3,1,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:52:40,00:52:40,0.000,14,Aereo,,11,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:52:41,00:52:41,0.000,14,Duelo,,11,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:52:48,00:52:48,0.000,12,Robo,,7,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:52:54,00:52:54,0.000,9,Interceptado,7,4,12,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:52:58,00:52:58,0.000,11,Encontrada,,8,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,00:54:02,00:54:02,0.000,19,Lateral largo,9,3,20,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:54:12,00:54:12,0.000,20,Balon afuera fondo,,5,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:55:43,00:55:43,0.000,9,Encontrada,,7,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,00:56:24,00:56:24,0.000,11,Tiro libre,9,2,17,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:56:24,00:56:24,0.000,11,Interceptado,9,2,17,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:56:36,00:56:36,0.000,7,Intercepcion,,6,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:56:43,00:56:43,0.000,8,Interceptado,10,5,11,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:57:17,00:57:17,0.000,10,Disputa suelo,,10,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:57:18,00:57:18,0.000,10,Robo,,10,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:57:21,00:57:21,0.000,7,Error tecnico,9,3,13,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:57:42,00:57:42,0.000,9,intercepcion anticipo,,4,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:57:54,00:57:54,0.000,17,Atajada,,9,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:58:11,00:58:11,0.000,2,Gambeta a favor,,6,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,00:58:21,00:58:21,0.000,17,Interceptado,7,11,18,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,00:59:46,00:59:46,0.000,17,intercepcion anticipo,,4,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,00:59:54,00:59:54,0.000,24,Gambeta a favor,,10,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,01:00:18,01:00:18,0.000,17,Balon afuera fondo,,5,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,01:00:48,01:00:48,0.000,17,Error tecnico,,11,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,01:00:59,01:00:59,0.000,9,Intercepcion aereo,,4,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,01:02:07,01:02:07,0.000,24,Tiro de esquina,5,10,24,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,01:02:12,01:02:12,0.000,24,Interceptado,,5,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,01:02:58,01:02:58,0.000,9,Intercepcion,,4,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,01:03:03,01:03:03,0.000,9,Disputa suelo,,4,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,01:03:38,01:03:38,0.000,8,Tiro libre,9,1,17,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,01:03:43,01:03:43,0.000,11,Interceptado,,6,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,01:04:19,01:04:19,0.000,13,Lateral largo,9,3,16,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,01:04:21,01:04:21,0.000,16,Aereo,,9,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,01:04:22,01:04:22,0.000,16,Duelo,,9,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,01:05:17,01:05:17,0.000,5,Intercepcion aereo,,1,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,01:05:40,01:05:40,0.000,17,Interceptado,,7,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,01:06:22,01:06:22,0.000,2,Aereo,,6,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,01:06:23,01:06:23,0.000,2,Duelo,,6,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,01:06:30,01:06:30,0.000,14,Aereo,,9,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Pelota parada,,01:07:50,01:07:50,0.000,16,Tiro libre,6,10,21,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,01:08:00,01:08:00,0.000,21,Balon afuera fondo,,6,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,01:08:14,01:08:14,0.000,4,Encontrada,,1,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,01:08:29,01:08:29,0.000,17,Aereo,,9,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,01:25:37,01:25:37,0.000,7,Encontrada,,2,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,01:25:52,01:25:52,0.000,7,Balon afuera lateral,,1,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,01:25:58,01:25:58,0.000,7,Encontrada,,7,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,01:25:59,01:25:59,0.000,7,Gambeta a favor,,7,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,01:26:25,01:26:25,0.000,24,Disputa suelo,,10,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,01:26:26,01:26:26,0.000,24,Balon afuera fondo,,10,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,01:26:52,01:26:52,0.000,14,Robo,,8,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,01:27:01,01:27:01,0.000,16,Aereo,,9,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,01:27:03,01:27:03,0.000,19,Interceptado,9,7,20,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,01:28:25,01:28:25,0.000,4,Encontrada,,3,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,01:29:01,01:29:01,0.000,13,Disputa suelo,,5,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Perdida,,01:29:02,01:29:02,0.000,13,Balon afuera lateral,,5,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Recuperacion,,01:29:50,01:29:50,0.000,8,Robo,,2,Volver,
2022/05/02,ALDOSIVICOMPLETO,ALDOSIVI_COMPLETO,15:22:33,17:43:53,Duelo,,01:29:53,01:29:53,0.000,8,Gambeta a favor,,2,Volver,
