Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Zonas_final,Jugador2,Jugador,Zonas,Categoria,Optional Column
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,5,9,11,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,5,9,11,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,5,9,8,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,5,9,8,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,5,5,11,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,5,5,11,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,5,5,8,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,5,5,8,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,4,9,11,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,4,9,11,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,4,9,8,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,4,9,8,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,4,5,11,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,4,5,11,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,4,5,8,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,8,4,5,8,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,5,9,11,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,5,9,11,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,5,9,8,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,5,9,8,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,5,5,11,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,5,5,11,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,5,5,8,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,5,5,8,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,4,9,11,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,4,9,11,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,4,9,8,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,4,9,8,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,4,5,11,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,4,5,11,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,4,5,8,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:25,00:17:33,8.000,,9,4,5,8,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:32,00:17:38,6.000,,17,7,4,9,largo,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Falta,,00:17:35,00:17:41,6.000,,Volver,,8,15,Recibida,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:51,00:17:57,6.000,,8,1,2,9,corto,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:56,00:18:04,8.699,,10,3,1,8,medio,
2022/03/05,Huracan,primer tiempo,14:32:28,16:49:21,Pase,,00:17:56,00:18:04,8.699,,10,3,1,8,medio,
