Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Calificacion,Dificultad,Optional Column
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:19:52,00:19:58,6.000,7,Interceptado,Rival,1,7,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:19:45,00:19:45,0.000,11,corto,5,9,11,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:19:48,00:19:48,0.000,11,medio,2,5,8,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:19:51,00:19:51,0.000,8,medio,1,2,3,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Recuperacion,,00:20:41,00:20:41,0.000,2,Intercepcion,,2,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Despeje,,00:20:52,00:20:52,0.000,2,Despeje,Rival,2,7,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:20:53,00:20:53,0.000,2,Balon afuera lateral,Rival,2,7,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Recuperacion,,00:21:01,00:21:01,0.000,4,Encontrada,,2,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Despeje,,00:21:04,00:21:04,0.000,4,Despeje,Rival,2,15,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:21:07,00:21:07,0.000,4,Interceptado,Rival,2,15,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Recuperacion,,00:21:20,00:21:20,0.000,9,Encontrada,,2,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:21:22,00:21:22,0.000,9,largo,10,2,14,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:21:23,00:21:23,0.000,14,corto,9,10,14,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:21:29,00:21:29,0.000,14,corto,8,9,14,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Duelo,,00:21:33,00:21:39,6.000,16,Disputa suelo,,8,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:21:37,00:21:37,0.000,16,Duelo,,8,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pelota parada,,00:21:54,00:22:00,6.000,19,Lateral largo,9,3,21,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Duelo,,00:21:56,00:22:02,6.000,20,Aereo,,9,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:22:01,00:22:01,0.000,20,Duelo,,9,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pelota parada,,00:22:16,00:22:22,6.000,16,Lateral corto,8,3,19,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:22:23,00:22:23,0.000,19,corto,3,8,16,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:22:25,00:22:25,0.000,16,corto,5,3,17,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:22:28,00:22:28,0.000,17,Robo,,8,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Recuperacion,,00:22:55,00:22:55,0.000,8,Robo,,10,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:22:59,00:22:59,0.000,8,corto,5,10,8,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:23:01,00:23:01,0.000,8,Robo,,5,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Recuperacion,,00:23:03,00:23:03,0.000,8,Robo,,6,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:23:07,00:23:07,0.000,8,medio,11,6,10,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:23:10,00:23:10,0.000,10,largo,Rival,11,17,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:23:13,00:23:13,0.000,10,Interceptado,Rival,11,17,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Arquero,,00:23:36,00:23:42,6.000,3,Remate atajable,,1,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:24:03,00:24:03,0.000,14,Duelo,,9,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Falta,,00:25:02,00:25:08,6.000,14,Recibida,,10,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pelota parada,,00:25:38,00:25:44,6.000,14,Tiro libre,6,11,23,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:25:43,00:25:43,0.000,23,corto,9,6,22,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Gol ,,00:25:44,00:25:44,0.000,22,,,9,Volver,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pelota parada,,00:26:57,00:26:57,0.000,13,Lateral largo,9,3,17,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Pase,,00:26:59,00:26:59,0.000,17,corto,8,9,17,,,
2022/04/05,COMPLETOVELEZ3,VELEZ RESERVA,20:18:22,22:53:32,Perdida,,00:27:02,00:27:02,0.000,17,Robo,,8,Volver,,,
