Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Zonas_final,Jugador2,Jugador,Zonas,Categoria,Optional Column
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:19:50,00:19:56,6.000,,10,3,5,10,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:19:54,00:20:00,6.000,,17,9,3,10,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:19:56,00:20:02,6.000,,16,Rival,3,13,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:19:57,00:20:03,6.000,,13,11,3,13,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:20:02,00:20:08,6.000,,19,9,11,13,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:20:04,00:20:10,6.000,,18,Rival,9,19,Balon afuera lateral,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:20:28,00:20:34,6.000,,17,Rival,5,14,Intercepcion aereo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:20:32,00:20:38,6.000,,17,9,5,14,Interceptado,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:20:33,00:20:39,6.000,,17,Rival,5,14,Intercepcion aereo,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:20:36,00:20:42,6.000,,18,8,5,18,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:21:08,00:21:14,6.000,,12,Rival,4,12,Encontrada,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:21:09,00:21:15,6.000,,14,8,4,12,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:21:17,00:21:23,6.000,,13,3,8,13,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:21:29,00:21:35,6.000,,14,Rival,11,13,Error tactico,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:23:12,00:23:18,6.000,,Volver,,2,7,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:23:13,00:23:19,6.000,,7,6,2,7,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pelota parada,,00:23:39,00:23:45,6.000,,Volver,,4,6,Lateral corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:24:01,00:24:07,6.000,,Volver,,4,9,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:24:18,00:24:24,6.000,,Volver,,8,11,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:24:19,00:24:25,6.000,,15,9,8,11,medio,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pase,,00:24:23,00:24:29,6.000,,13,8,9,14,corto,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Falta,,00:24:25,00:24:31,6.000,,Volver,,8,16,Recibida,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Pelota parada,,00:25:29,00:25:35,6.000,,Volver,,5,16,Tiro libre,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Recuperacion,,00:26:04,00:26:10,6.000,,Volver,,3,1,Intercepcion,
2022/03/23,Boca,completo ,10:52:58,13:12:50,Perdida,,00:26:12,00:26:18,6.000,,13,Rival,3,1,Balon afuera lateral,
