Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Jugador2,Zonas_final,Calificacion,Zonas,Jugador,Categoria,Optional Column
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,00:25:09,00:25:09,0.000,,,Volver,,14,9,Hecha,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:27:08,00:27:08,0.000,,6,2,,3,1,S arquero pie,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:27:13,00:27:13,0.000,,10,14,,7,6,largo,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:27:15,00:27:15,0.000,,8,14,,14,10,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:27:15,00:27:15,0.000,,10,14,,14,8,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:27:20,00:27:20,0.000,,11,19,,14,10,largo,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,00:27:20,00:27:20,0.000,,,Volver,,14,10,Balon afuera fondo,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:28:45,00:28:45,0.000,,6,11,,12,2,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:28:46,00:28:46,0.000,,2,12,,11,6,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:28:52,00:28:52,0.000,,6,11,,12,2,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:28:53,00:28:53,0.000,,3,13,,10,6,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:29:00,00:29:00,0.000,,9,20,,13,3,largo,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,00:29:00,00:29:00,0.000,,,Volver,,20,9,Balon afuera fondo,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Arquero,,00:30:42,00:30:42,0.000,,,Volver,,3,1,Remate atajable,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:30:52,00:30:52,0.000,,2,5,,3,1,S arquero mano,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:30:58,00:30:58,0.000,,4,9,,9,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,00:31:15,00:31:15,0.000,,,Volver,,9,4,Recibida,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:31:19,00:31:19,0.000,,3,7,,9,6,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:31:26,00:31:26,0.000,,7,10,,10,3,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:31:31,00:31:31,0.000,,11,16,,16,7,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,00:31:37,00:31:37,0.000,,,Volver,,17,11,Recibida,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:32:27,00:32:27,0.000,,11,20,,23,3,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Remate pie,,00:32:29,00:32:29,0.000,,Rival,22,,20,11,Corta distancia,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,00:32:29,00:32:29,0.000,,,Volver,,20,11,Balon afuera fondo,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:34:06,00:34:06,0.000,,3,13,,13,5,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,00:34:10,00:34:10,0.000,,,Volver,,13,7,Interceptado,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:34:15,00:34:15,0.000,,3,10,,11,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:34:17,00:34:17,0.000,,6,11,,10,3,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:34:23,00:34:23,0.000,,10,24,,11,6,largo,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,00:34:26,00:34:26,0.000,,,Volver,,24,10,Balon afuera lateral,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:35:55,00:35:55,0.000,,6,2,,3,1,S arquero pie,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:36:00,00:36:00,0.000,,9,13,,1,6,largo,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:36:03,00:36:03,0.000,,3,13,,13,9,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:36:06,00:36:06,0.000,,11,16,,13,3,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Remate pie,,00:36:10,00:36:10,0.000,,Rival,22,,20,11,Corta distancia,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,00:36:13,00:36:13,0.000,,,Volver,,20,11,Interceptado,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:36:24,00:36:24,0.000,,9,17,,14,11,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:36:26,00:36:26,0.000,,10,18,,17,9,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,00:36:29,00:36:29,0.000,,,Volver,,18,10,Recibida,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:37:57,00:37:57,0.000,,7,13,,13,5,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:38:03,00:38:03,0.000,,10,18,,13,7,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:38:09,00:38:09,0.000,,4,15,,18,10,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:38:10,00:38:10,0.000,,2,14,,15,4,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:38:12,00:38:12,0.000,,6,14,,14,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:38:16,00:38:16,0.000,,2,14,,11,6,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:38:19,00:38:19,0.000,,10,18,,14,2,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:38:23,00:38:23,0.000,,2,15,,18,10,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:38:27,00:38:27,0.000,,6,14,,15,2,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:38:32,00:38:32,0.000,,11,17,,14,6,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,00:38:32,00:38:32,0.000,,,Volver,,14,6,Interceptado,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:38:50,00:38:50,0.000,,10,15,,12,4,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:38:50,00:38:50,0.000,,5,15,,15,10,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:38:51,00:38:51,0.000,,2,12,,15,5,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:38:56,00:38:56,0.000,,1,4,,12,2,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:39:00,00:39:00,0.000,,11,15,,4,1,S arquero pie,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:39:02,00:39:02,0.000,,9,14,,12,11,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:39:05,00:39:05,0.000,,10,15,,15,9,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:39:09,00:39:09,0.000,,11,18,,18,10,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,00:39:19,00:39:19,0.000,,,Volver,,17,11,Hecha,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:40:44,00:40:44,0.000,,10,12,,7,11,medio,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,00:40:49,00:40:49,0.000,,,Volver,,12,10,Interceptado,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,00:41:01,00:41:01,0.000,,,Volver,,12,10,Hecha,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Arquero,,00:41:48,00:41:48,0.000,Media,,Volver,,3,1,Salvada/Atajada,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,00:42:28,00:42:28,0.000,,,Volver,,8,8,Recibida,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:43:09,00:43:09,0.000,,7,13,,13,3,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Pase,,00:43:12,00:43:12,0.000,,11,16,,13,7,corto,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Perdida,,00:43:12,00:43:12,0.000,,,Volver,,13,7,Interceptado,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Falta,,00:43:44,00:43:44,0.000,,,Volver,,9,4,Hecha,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Tarjeta,,00:43:45,00:43:45,0.000,,,Volver,,9,4,Amarilla,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Tarjeta,,00:45:44,00:45:44,0.000,,,Volver,,4,2,Amarilla,
2022/05/31,LANUS,completo,16:25:14,19:08:14,Gol rival,,00:47:12,00:47:12,0.000,,,Volver,,3,3,Directa,
