Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Zonas_final,Jugador2,Jugador,Zonas,Categoria,Optional Column
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,00:27:49,00:27:49,0.000,,Volver,,1,4,Recibida,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:27:58,00:27:58,0.000,,17,9,10,14,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,00:27:59,00:27:59,0.000,,Volver,,9,17,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:28:06,00:28:06,0.000,,11,6,2,11,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:28:09,00:28:09,0.000,,17,10,6,11,largo,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,00:28:10,00:28:10,0.000,,Volver,,10,17,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:28:51,00:28:51,0.000,,6,10,6,5,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:29:15,00:29:15,0.000,,15,9,11,12,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,00:29:18,00:29:18,0.000,,Volver,,9,15,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:29:30,00:29:30,0.000,,4,1,3,10,largo,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:30:20,00:30:20,0.000,,13,2,8,16,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:30:25,00:30:25,0.000,,8,6,2,10,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:30:29,00:30:29,0.000,,11,5,6,11,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,00:30:29,00:30:29,0.000,,Volver,,5,11,Robo,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:30:32,00:30:32,0.000,,4,1,6,11,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,00:31:46,00:31:46,0.000,,Volver,,6,21,Offside,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:32:40,00:32:40,0.000,,24,9,5,12,largo,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,00:34:44,00:34:44,0.000,,Volver,,11,10,Recibida,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:34:59,00:34:59,0.000,,15,10,2,11,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:35:09,00:35:09,0.000,,24,11,10,15,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,00:35:16,00:35:16,0.000,,Volver,,11,24,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:37:43,00:37:43,0.000,,7,3,1,3,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,00:38:00,00:38:00,0.000,,Volver,,11,14,Hecha,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:39:55,00:39:55,0.000,,10,11,5,7,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:40:00,00:40:00,0.000,,10,6,11,10,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:40:09,00:40:09,0.000,,9,4,6,7,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:40:11,00:40:11,0.000,,12,10,4,12,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,00:40:11,00:40:11,0.000,,Volver,,10,12,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:40:43,00:40:43,0.000,,18,9,1,3,largo,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:40:44,00:40:44,0.000,,18,10,9,18,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:40:48,00:40:48,0.000,,18,9,10,18,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:40:51,00:40:51,0.000,,15,4,9,18,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:40:56,00:40:56,0.000,,13,3,4,15,largo,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,00:41:01,00:41:01,0.000,,Volver,,3,13,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:41:30,00:41:30,0.000,,16,11,3,10,inteligente,
2022/05/29,River,completo,18:28:07,21:01:17,Remate pie,,00:41:34,00:41:34,0.000,,22,Rival,11,20,Corta distancia,
2022/05/29,River,completo,18:28:07,21:01:17,Gol ,,00:41:34,00:41:34,0.000,,Volver,,11,20,Directa,
2022/05/29,River,completo,18:28:07,21:01:17,Arquero,,00:43:28,00:43:28,0.000,,Volver,,1,3,Remate atajable,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,00:43:59,00:43:59,0.000,,Volver,,7,13,Recibida,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:47:36,00:47:36,0.000,,13,10,9,16,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:47:40,00:47:40,0.000,,19,9,10,13,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,00:47:54,00:47:54,0.000,,Volver,,9,19,Hecha,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:48:16,00:48:16,0.000,,14,9,11,15,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:48:18,00:48:18,0.000,,14,8,9,14,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:48:18,00:48:18,0.000,,15,11,8,15,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:48:22,00:48:22,0.000,,18,10,11,15,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,00:48:29,00:48:29,0.000,,Volver,,10,24,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Arquero,,00:49:18,00:49:18,0.000,,Volver,,1,3,Remate atajable,
2022/05/29,River,completo,18:28:07,21:01:17,Gol rival,,00:52:12,00:52:12,0.000,,Volver,1,,3,Indirecta,
2022/05/29,River,completo,18:28:07,21:01:17,Arquero,,00:52:13,00:52:13,0.000,,Volver,,1,3,Remate atajable,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:55:04,00:55:04,0.000,,4,1,2,8,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,00:55:07,00:55:07,0.000,,Volver,,1,4,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:55:10,00:55:10,0.000,,8,6,7,8,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:55:23,00:55:23,0.000,,10,3,5,11,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:55:26,00:55:26,0.000,,11,5,3,10,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:55:29,00:55:29,0.000,,8,2,5,11,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:55:32,00:55:32,0.000,,11,5,2,8,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:55:35,00:55:35,0.000,,10,3,5,11,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:56:57,00:56:57,0.000,,10,9,5,7,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:57:00,00:57:00,0.000,,10,3,9,10,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:57:01,00:57:01,0.000,,10,5,3,10,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:57:05,00:57:05,0.000,,16,9,5,14,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:57:46,00:57:46,0.000,,22,9,6,21,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Remate pie,,00:57:48,00:57:48,0.000,,Volver,,9,22,Corta distancia,
2022/05/29,River,completo,18:28:07,21:01:17,Gol ,,00:57:48,00:57:48,0.000,,Volver,,9,22,Directa,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,00:59:01,00:59:01,0.000,,18,11,8,12,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,00:59:04,00:59:04,0.000,,Volver,,11,24,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:00:52,01:00:52,0.000,,18,11,5,12,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:00:58,01:00:58,0.000,,21,9,11,24,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,01:00:59,01:00:59,0.000,,Volver,,11,24,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,01:01:18,01:01:18,0.000,,Volver,,3,11,Hecha,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,01:01:33,01:01:33,0.000,,Volver,,4,9,Recibida,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:01:59,01:01:59,0.000,,21,Rival,1,3,S arquero pie,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,01:02:01,01:02:01,0.000,,Volver,,1,3,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:02:12,01:02:12,0.000,,8,5,2,9,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:02:15,01:02:15,0.000,,10,3,5,11,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:02:20,01:02:20,0.000,,13,10,3,10,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,01:02:29,01:02:29,0.000,,Volver,,10,13,Recibida,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,01:07:19,01:07:19,0.000,,Volver,,6,8,Hecha,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,01:07:22,01:07:22,0.000,,Volver,,2,8,Hecha,
2022/05/29,River,completo,18:28:07,21:01:17,Tarjeta,,01:07:27,01:07:27,0.000,,Volver,,2,8,Amarilla,
2022/05/29,River,completo,18:28:07,21:01:17,Arquero,,01:08:14,01:08:14,0.000,,8,Rival,1,3,Remate atajable,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:08:57,01:08:57,0.000,,6,4,10,6,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:09:02,01:09:02,0.000,,11,11,4,6,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:09:03,01:09:03,0.000,,11,9,11,11,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,01:09:06,01:09:06,0.000,,Volver,,9,11,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:09:53,01:09:53,0.000,,12,10,4,9,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,01:10:01,01:10:01,0.000,,Volver,,10,15,Robo,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:10:21,01:10:21,0.000,,15,4,7,18,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:11:13,01:11:13,0.000,,13,9,3,10,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:11:18,01:11:18,0.000,,13,7,9,13,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:11:22,01:11:22,0.000,,10,3,7,13,largo,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,01:11:22,01:11:22,0.000,,Volver,,7,13,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Remate pie,,01:11:39,01:11:39,0.000,,22,Rival,11,20,Corta distancia,
2022/05/29,River,completo,18:28:07,21:01:17,Arquero,,01:12:16,01:12:16,0.000,Facil,Volver,,1,3,Salvada/Atajada,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:12:31,01:12:31,0.000,,14,9,1,3,S arquero pie,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,01:12:47,01:12:47,0.000,,,,10,17,Hecha,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,01:37:26,01:37:26,0.000,,Volver,,11,17,Recibida,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:38:19,01:38:19,0.000,,12,6,4,15,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:38:21,01:38:21,0.000,,5,1,6,12,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:38:28,01:38:28,0.000,,14,9,1,3,largo,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,01:38:28,01:38:28,0.000,,Volver,,1,3,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:39:47,01:39:47,0.000,,7,6,1,3,S arquero pie,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:39:49,01:39:49,0.000,,1,4,6,7,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,01:39:55,01:39:55,0.000,,Volver,,4,1,Balon afuera lateral,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:42:56,01:42:56,0.000,,19,9,5,16,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,01:43:02,01:43:02,0.000,,Volver,,9,19,Robo,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:43:12,01:43:12,0.000,,15,8,7,15,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:43:37,01:43:37,0.000,,18,4,10,18,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,01:43:39,01:43:39,0.000,,Volver,,4,18,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,01:45:11,01:45:11,0.000,,Volver,,8,9,Recibida,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,01:46:22,01:46:22,0.000,,Volver,,6,15,Hecha,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:48:19,01:48:19,0.000,,14,10,1,3,S arquero pie,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,01:48:23,01:48:23,0.000,,Volver,,1,3,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,01:51:40,01:51:40,0.000,,Volver,,5,16,Hecha,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:54:01,01:54:01,0.000,,18,9,5,15,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:54:04,01:54:04,0.000,,15,4,9,15,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,01:54:08,01:54:08,0.000,,18,9,4,15,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,01:54:08,01:54:08,0.000,,Volver,,4,15,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Sustitucion,,01:53:45,01:53:45,0.000,,,,,,,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,01:57:34,01:57:34,0.000,,Volver,,9,13,Recibida,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,01:59:26,01:59:26,0.000,,Volver,,7,9,Hecha,
2022/05/29,River,completo,18:28:07,21:01:17,Tarjeta,,01:59:26,01:59:26,0.000,,Volver,,7,9,Amarilla,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:00:16,02:00:16,0.000,,9,11,9,12,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:00:19,02:00:19,0.000,,9,11,9,9,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,02:00:19,02:00:19,0.000,,Volver,,9,9,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:01:37,02:01:37,0.000,,12,11,8,6,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:01:42,02:01:42,0.000,,9,5,11,12,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:01:43,02:01:43,0.000,,12,11,5,9,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:01:52,02:01:52,0.000,,21,9,11,18,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Remate cabeza,,02:01:51,02:01:51,0.000,,Volver,,9,21,Facil,
2022/05/29,River,completo,18:28:07,21:01:17,Gol ,,02:01:51,02:01:51,0.000,,Volver,,9,21,Directa,
2022/05/29,River,completo,18:28:07,21:01:17,Arquero,,02:04:05,02:04:05,0.000,Media,Volver,,1,3,Salvada/Atajada,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:04:17,02:04:17,0.000,,Volver,,3,7,S arquero mano,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:04:21,02:04:21,0.000,,13,18,3,7,largo,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,02:04:22,02:04:22,0.000,,Volver,,3,7,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Sustitucion,,02:05:34,02:05:34,0.000,,Volver,,,,,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:07:42,02:07:42,0.000,,13,8,1,3,S arquero pie,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,02:07:42,02:07:42,0.000,,Volver,,1,3,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Remate pie,,02:09:34,02:09:34,0.000,,22,Rival,11,21,Corta distancia,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,02:09:35,02:09:35,0.000,,Volver,,11,21,Balon afuera fondo,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:11:25,02:11:25,0.000,,14,5,1,3,S arquero pie,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,02:11:25,02:11:25,0.000,,Volver,,1,3,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Falta,,02:12:39,02:12:39,0.000,,Volver,,9,16,Offside,
2022/05/29,River,completo,18:28:07,21:01:17,Arquero,,02:13:13,02:13:13,0.000,Dificil,Volver,,1,3,Salvada/Atajada,
2022/05/29,River,completo,18:28:07,21:01:17,Arquero,,02:13:56,02:13:56,0.000,Facil,Volver,,1,3,Salvada/Atajada,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:14:28,02:14:28,0.000,,13,3,5,14,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,02:14:35,02:14:35,0.000,,Volver,,3,13,Interceptado,
2022/05/29,River,completo,18:28:07,21:01:17,Sustitucion,,02:14:59,02:14:59,0.000,,Volver,,,,,
2022/05/29,River,completo,18:28:07,21:01:17,Sustitucion,,02:15:19,02:15:19,0.000,,Volver,,,,,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:16:26,02:16:26,0.000,,16,22,1,3,S arquero pie,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,02:16:29,02:16:29,0.000,,Volver,,22,16,Robo,
2022/05/29,River,completo,18:28:07,21:01:17,Remate cabeza,,02:17:00,02:17:00,0.000,,Volver,,22,21,Facil,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,02:17:00,02:17:00,0.000,,Volver,,22,21,Balon afuera fondo,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:19:10,02:19:10,0.000,,14,22,1,3,S arquero pie,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,02:19:10,02:19:10,0.000,,Volver,,22,14,Robo,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:19:33,02:19:33,0.000,,9,4,11,9,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:19:36,02:19:36,0.000,,12,11,4,9,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:19:41,02:19:41,0.000,,15,13,11,18,corto,
2022/05/29,River,completo,18:28:07,21:01:17,Pase,,02:19:44,02:19:44,0.000,,17,22,13,15,medio,
2022/05/29,River,completo,18:28:07,21:01:17,Perdida,,02:19:44,02:19:44,0.000,,Volver,,13,15,Interceptado,
