Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Optional Column
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Duelo,,00:26:21,00:26:21,0.000,7,Aereo,,2,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Recuperacion,,00:26:22,00:26:22,0.000,7,Duelo,,2,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Duelo,,00:26:29,00:26:29,0.000,7,Aereo,,3,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:26:30,00:26:30,0.000,7,Duelo,,3,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Duelo,,00:27:57,00:27:57,0.000,14,Aereo,,11,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Duelo,,00:28:02,00:28:02,0.000,14,Disputa suelo,,7,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:28:03,00:28:03,0.000,14,Duelo,,7,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Recuperacion,,00:28:06,00:28:06,0.000,11,Intercepcion,,6,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:28:10,00:28:10,0.000,11,Error tecnico,,2,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Duelo,,00:28:51,00:28:51,0.000,5,Disputa suelo,,2,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Recuperacion,,00:28:51,00:28:51,0.000,5,Robo,,6,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Pelota parada,,00:29:09,00:29:09,0.000,9,Lateral largo,Rival,4,12,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:29:11,00:29:11,0.000,9,intercepcion aereo,9,4,12,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Recuperacion,,00:29:12,00:29:12,0.000,12,Intercepcion,,11,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:29:18,00:29:18,0.000,15,Error tecnico,,9,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Recuperacion,,00:29:27,00:29:27,0.000,13,Robo,,3,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:29:39,00:29:39,0.000,4,Interceptado,9,1,17,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Pelota parada,,00:29:57,00:29:57,0.000,16,Lateral corto,11,3,16,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Pelota parada,,00:30:16,00:30:16,0.000,19,Lateral largo,Rival,3,20,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Pelota parada,,00:31:35,00:31:35,0.000,19,Tiro de esquina,10,8,19,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Duelo,,00:32:21,00:32:21,0.000,9,Disputa suelo,,4,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Recuperacion,,00:32:21,00:32:21,0.000,9,Robo,,4,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:32:23,00:32:23,0.000,9,Interceptado,9,4,12,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Recuperacion,,00:32:29,00:32:29,0.000,12,Duelo,,9,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:32:32,00:32:32,0.000,15,Error tecnico,,9,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Recuperacion,,00:32:37,00:32:37,0.000,11,Intercepcion,,5,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:32:44,00:32:44,0.000,11,Interceptado,9,5,18,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Pelota parada,,00:33:43,00:33:43,0.000,7,Lateral largo,11,3,10,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:33:45,00:33:45,0.000,10,Interceptado,7,11,13,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Pelota parada,,00:34:15,00:34:15,0.000,1,Lateral largo,Rival,3,7,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Pelota parada,,00:34:30,00:34:30,0.000,7,Lateral corto,11,3,7,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Duelo,,00:34:50,00:34:50,0.000,14,Aereo,,9,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:34:50,00:34:50,0.000,14,Interceptado,11,9,14,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Recuperacion,,00:34:56,00:34:56,0.000,11,intercepcion anticipo,,6,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:35:13,00:35:13,0.000,24,Duelo,,11,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Recuperacion,,00:35:47,00:35:47,0.000,7,Intercepcion aereo,,2,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Duelo,,00:36:21,00:36:21,0.000,11,Aereo,,8,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:36:24,00:36:24,0.000,14,Error tecnico,,11,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Recuperacion,,00:37:22,00:37:22,0.000,7,Duelo,,5,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:37:48,00:37:48,0.000,7,intercepcion aereo,9,3,14,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Pelota parada,,00:39:16,00:39:16,0.000,10,Lateral largo,Rival,3,13,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:39:21,00:39:21,0.000,10,Interceptado,9,3,13,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Duelo,,00:39:52,00:39:52,0.000,7,Aereo,,2,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Recuperacion,,00:39:53,00:39:53,0.000,7,Intercepcion aereo,,2,Volver,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Pelota parada,,00:40:05,00:40:05,0.000,7,Lateral corto,2,3,7,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:40:11,00:40:11,0.000,9,Interceptado,10,4,12,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Perdida,,00:40:59,00:40:59,0.000,16,Interceptado,7,3,19,
2022/05/15,RIVER_PPRPD,RIVER_PPRPD_FINAL,21:49:50,00:23:00,Recuperacion,,00:41:27,00:41:27,0.000,10,intercepcion anticipo,,3,Volver,
