Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Optional Column
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Perdida,,00:02:18,00:02:18,0.000,12,intercepcion aereo,9,2,17,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Recuperacion,,00:02:21,00:02:21,0.000,17,Intercepcion aereo,,9,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Perdida,,00:02:35,00:02:35,0.000,16,Balon afuera fondo,,3,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Recuperacion,,00:02:58,00:02:58,0.000,1,Duelo,,3,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Perdida,,00:03:18,00:03:18,0.000,9,intercepcion aereo,9,2,18,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Recuperacion,,00:03:19,00:03:19,0.000,15,intercepcion anticipo,,8,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Perdida,,00:03:22,00:03:22,0.000,15,Duelo,,9,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Duelo,,00:03:35,00:03:35,0.000,12,Disputa suelo,,4,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Recuperacion,,00:03:35,00:03:35,0.000,12,Duelo,,4,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Pelota parada,,00:03:56,00:03:56,0.000,24,Lateral largo,Rival,4,23,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Perdida,,00:03:57,00:03:57,0.000,24,intercepcion aereo,11,4,23,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Recuperacion,,00:04:22,00:04:22,0.000,12,intercepcion anticipo,,5,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Duelo,,00:04:26,00:04:26,0.000,14,Gambeta a favor,,11,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Duelo,,00:04:39,00:04:39,0.000,23,Disputa suelo,,11,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Perdida,,00:04:39,00:04:39,0.000,23,Duelo,,11,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Pelota parada,,00:05:43,00:05:43,0.000,11,Tiro libre,6,2,11,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Perdida,,00:05:52,00:05:52,0.000,4,intercepcion aereo,11,1,11,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Recuperacion,,00:05:57,00:05:57,0.000,7,intercepcion anticipo,,3,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Perdida,,00:06:07,00:06:07,0.000,21,Error tecnico,,9,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Duelo,,00:06:42,00:06:42,0.000,7,Aereo,,6,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Recuperacion,,00:06:42,00:06:42,0.000,7,Intercepcion aereo,,6,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Pelota parada,,00:07:47,00:07:47,0.000,11,Tiro libre,6,10,20,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Perdida,,00:07:48,00:07:48,0.000,20,Balon afuera fondo,,6,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Duelo,,00:08:11,00:08:11,0.000,12,Aereo,,4,Volver,
2022/07/23,BARRACAS_ACCIONES,BARRACAS_ACCIONES2,11:24:18,13:24:03,Recuperacion,,00:08:11,00:08:11,0.000,12,Intercepcion aereo,,4,Volver,
