Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Dificultad,Calificacion,Optional Column
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:22:36,00:22:36,0.000,11,corto,5,9,11,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:22:39,00:22:39,0.000,11,medio,10,5,13,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:22:50,00:22:50,0.000,14,corto,9,5,17,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:22:59,00:22:59,0.000,17,corto,10,11,16,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Remate pie,,00:23:02,00:23:02,0.000,16,Larga distancia,Rival,10,22,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:23:03,00:23:03,0.000,16,Balon afuera fondo,Rival,10,22,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:24:16,00:24:16,0.000,8,medio,11,10,13,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:24:16,00:24:16,0.000,8,Interceptado,11,10,13,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,00:25:18,00:25:18,0.000,7,Recibida,,8,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:25:53,00:25:53,0.000,12,corto,4,7,9,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:25:56,00:25:56,0.000,9,corto,Rival,4,12,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:25:57,00:25:57,0.000,9,Interceptado,Rival,4,12,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Despeje,,00:27:36,00:27:36,0.000,8,Despeje,Rival,9,18,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:27:44,00:27:44,0.000,12,corto,4,8,9,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:27:47,00:27:47,0.000,9,medio,10,4,15,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Perdida,,00:27:47,00:27:47,0.000,9,Interceptado,10,4,15,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Falta,,00:28:35,00:28:35,0.000,9,Recibida,,4,Volver,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:30:01,00:30:01,0.000,23,corto,11,9,21,,,
2022/06/11,Temp2Fecha1,Gimnasia,15:10:13,17:32:38,Pase,,00:30:54,00:30:54,0.000,15,medio,7,9,17,,,
