Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Optional Column
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Duelo,,00:22:41,00:22:41,0.000,16,Gambeta a favor,,10,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Perdida,,00:22:42,00:22:42,0.000,16,Robo,,10,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Recuperacion,,00:22:44,00:22:44,0.000,16,intercepcion anticipo,,11,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Duelo,,00:22:54,00:22:54,0.000,14,Disputa suelo,,9,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Perdida,,00:22:54,00:22:54,0.000,14,Duelo,,9,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Recuperacion,,00:22:56,00:22:56,0.000,14,Intercepcion,,8,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Perdida,,00:23:03,00:23:03,0.000,16,Error tecnico,,10,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Duelo,,00:23:34,00:23:34,0.000,12,Aereo,,4,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Perdida,,00:23:35,00:23:35,0.000,12,Duelo,,4,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Recuperacion,,00:23:40,00:23:40,0.000,9,intercepcion anticipo,,5,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Perdida,,00:23:45,00:23:45,0.000,9,Balon afuera lateral,,4,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Recuperacion,,00:24:13,00:24:13,0.000,8,intercepcion anticipo,,10,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Perdida,,00:24:17,00:24:17,0.000,11,Interceptado,11,10,10,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Recuperacion,,00:25:14,00:25:14,0.000,1,Robo,,10,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Duelo,,00:25:17,00:25:17,0.000,7,Gambeta a favor,,8,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Duelo,,00:25:49,00:25:49,0.000,11,Aereo,,9,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Perdida,,00:25:50,00:25:50,0.000,11,Duelo,,9,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Recuperacion,,00:25:51,00:25:51,0.000,11,Intercepcion,,5,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Pelota parada,,00:26:18,00:26:18,0.000,12,Lateral largo,11,4,15,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Perdida,,00:26:25,00:26:25,0.000,18,Balon afuera lateral,,9,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Duelo,,00:27:10,00:27:10,0.000,6,Aereo,,2,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Recuperacion,,00:27:11,00:27:11,0.000,6,Intercepcion aereo,,2,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Perdida,,00:27:12,00:27:12,0.000,9,Interceptado,11,5,9,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Duelo,,00:27:26,00:27:26,0.000,4,Aereo,,2,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Recuperacion,,00:27:26,00:27:26,0.000,4,Intercepcion aereo,,2,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Perdida,,00:27:33,00:27:33,0.000,8,Error tecnico,,9,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Pelota parada,,00:28:06,00:28:06,0.000,12,Lateral largo,11,4,15,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Duelo,,00:28:08,00:28:08,0.000,15,Aereo,,11,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Perdida,,00:28:11,00:28:11,0.000,14,intercepcion aereo,,9,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Recuperacion,,00:28:32,00:28:32,0.000,9,Duelo,,4,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Pelota parada,,00:28:57,00:28:57,0.000,9,Tiro libre,Rival,6,17,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Pelota parada,,00:29:22,00:29:22,0.000,15,Lateral largo,9,4,18,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Pelota parada,,00:30:00,00:30:00,0.000,24,Lateral largo,9,4,23,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Perdida,,00:30:03,00:30:03,0.000,22,Atajada,,8,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Duelo,,00:30:50,00:30:50,0.000,9,Aereo,,4,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Recuperacion,,00:30:51,00:30:51,0.000,9,Intercepcion aereo,,4,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Perdida,,00:30:54,00:30:54,0.000,12,Error tecnico,,9,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Recuperacion,,00:31:06,00:31:06,0.000,10,Encontrada,,3,Volver,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Perdida,,00:31:18,00:31:18,0.000,16,Interceptado,11,3,21,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Pelota parada,,00:31:54,00:31:54,0.000,7,Lateral largo,9,3,10,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Pelota parada,,00:32:25,00:32:25,0.000,10,Tiro libre,5,2,10,
2022/06/09,GELP_FECHA1,GELP_FECHA1T,13:51:08,16:13:33,Perdida,,00:32:42,00:32:42,0.000,17,Error tecnico,,8,Volver,
