Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Optional Column
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Perdida,,00:12:40,00:12:40,0.000,9,Balon afuera lateral,3,6,10,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Recuperacion,,00:13:02,00:13:02,0.000,10,intercepcion anticipo,,3,Volver,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Perdida,,00:13:17,00:13:17,0.000,9,Interceptado,4,6,9,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Duelo,,00:13:20,00:13:20,0.000,6,Disputa suelo,,6,Volver,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Recuperacion,,00:13:21,00:13:21,0.000,6,Duelo,,6,Volver,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Pelota parada,,00:14:16,00:14:16,0.000,24,Tiro de esquina,Rival,7,21,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Perdida,,00:14:21,00:14:21,0.000,17,Balon afuera fondo,,10,Volver,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Duelo,,00:14:50,00:14:50,0.000,11,Aereo,,2,Volver,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Duelo,,00:14:52,00:14:52,0.000,11,Aereo,,5,Volver,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Duelo,,00:14:57,00:14:57,0.000,10,Disputa suelo,,8,Volver,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Perdida,,00:14:59,00:14:59,0.000,10,Duelo,,8,Volver,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Recuperacion,,00:15:12,00:15:12,0.000,1,Robo,,3,Volver,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Pelota parada,,00:15:37,00:15:37,0.000,7,Lateral largo,9,3,10,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Pelota parada,,00:16:33,00:16:33,0.000,19,Tiro de esquina,6,3,21,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Perdida,,00:16:34,00:16:34,0.000,21,Atajada,,6,Volver,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Recuperacion,,00:17:09,00:17:09,0.000,4,Intercepcion aereo,,5,Volver,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Perdida,,00:17:18,00:17:18,0.000,9,Duelo,,5,Volver,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Duelo,,00:17:44,00:17:44,0.000,10,Disputa suelo,,7,Volver,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Recuperacion,,00:17:45,00:17:45,0.000,10,Robo,,7,Volver,
2022/06/13,ALDOSIVI_FECHA2,ALDOSIVI_FECHA2_ACCIONES,11:04:15,13:13:33,Perdida,,00:17:57,00:17:57,0.000,15,Interceptado,6,10,12,
