Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas_final,Jugador2,Jugador,Calificacion,Zonas,Categoria,Optional Column
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:12:32,00:12:32,0.000,5,2,1,,3,S arquero pie,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:12:39,00:12:39,0.000,10,3,2,,9,largo,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:13:14,00:13:14,0.000,8,2,5,,10,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:13:17,00:13:17,0.000,9,4,2,,8,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Perdida,,00:13:17,00:13:17,0.000,Volver,,2,,8,Robo,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:13:45,00:13:45,0.000,24,10,9,,18,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Remate pie,,00:13:48,00:13:48,0.000,22,Rival,10,,24,Corta distancia,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Perdida,,00:13:49,00:13:49,0.000,Volver,,10,,24,Interceptado,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Remate pie,,00:14:21,00:14:21,0.000,22,Rival,10,,17,Media distancia,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Perdida,,00:14:21,00:14:21,0.000,Volver,,10,,17,Balon afuera fondo,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:15:46,00:15:46,0.000,13,10,7,,13,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:15:50,00:15:50,0.000,13,7,10,,13,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:15:53,00:15:53,0.000,20,10,7,,16,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Remate pie,,00:15:56,00:15:56,0.000,22,Rival,10,,20,Corta distancia,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Perdida,,00:15:56,00:15:56,0.000,Volver,,10,,20,Balon afuera fondo,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:17:17,00:17:17,0.000,9,5,10,,9,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Falta,,00:18:08,00:18:08,0.000,Volver,,4,,9,Recibida,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:18:12,00:18:12,0.000,4,6,1,,3,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:18:23,00:18:23,0.000,8,2,6,,7,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:18:26,00:18:26,0.000,12,10,2,,12,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:18:28,00:18:28,0.000,12,2,10,,12,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:18:33,00:18:33,0.000,18,11,2,,12,largo,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Perdida,,00:18:34,00:18:34,0.000,Volver,,2,,12,intercepcion aereo,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:18:52,00:18:52,0.000,13,5,11,,14,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:18:55,00:18:55,0.000,10,3,5,,13,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:18:58,00:18:58,0.000,10,5,3,,7,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:19:01,00:19:01,0.000,8,6,5,,10,medio,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:19:04,00:19:04,0.000,10,5,6,,10,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Falta,,00:19:13,00:19:13,0.000,Volver,,3,,19,Offside,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:20:06,00:20:06,0.000,5,1,2,,9,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:21:08,00:21:08,0.000,5,2,,,4,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:21:25,00:21:25,0.000,11,11,5,,8,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:21:28,00:21:28,0.000,12,10,11,,11,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:21:31,00:21:31,0.000,14,11,10,,15,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:21:33,00:21:33,0.000,18,4,11,,17,corto,
2022/07/03,pases aldosivi ,aldosivi ,15:51:19,18:00:37,Pase,,00:21:36,00:21:36,0.000,18,9,4,,18,corto,
