Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Dificultad,Optional Column
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:15:56,00:15:56,0.000,10,corto,6,11,8,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:15:59,00:15:59,0.000,8,largo,9,6,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:16:01,00:16:01,0.000,8,Interceptado,,6,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:16:45,00:16:45,0.000,5,corto,9,8,9,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:16:47,00:16:47,0.000,9,corto,10,9,8,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Falta,,00:16:50,00:16:50,0.000,8,Recibida,,10,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:17:00,00:17:00,0.000,8,medio,3,6,10,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:17:04,00:17:04,0.000,13,inteligente,11,3,19,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:17:07,00:17:07,0.000,19,inteligente,10,11,21,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Remate pie,,00:17:08,00:17:08,0.000,21,Corta distancia,Rival,10,22,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:17:09,00:17:09,0.000,21,Interceptado,,10,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Falta,,00:17:23,00:17:23,0.000,9,Recibida,,5,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:17:38,00:17:38,0.000,5,medio,2,1,7,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:17:46,00:17:46,0.000,7,corto,6,2,8,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:17:50,00:17:50,0.000,9,corto,1,6,3,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:17:55,00:17:55,0.000,3,corto,2,1,1,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:17:59,00:17:59,0.000,1,medio,5,2,8,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:18:00,00:18:00,0.000,8,corto,8,5,11,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:18:01,00:18:01,0.000,11,corto,5,8,8,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:18:03,00:18:03,0.000,8,corto,6,5,9,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:18:10,00:18:10,0.000,18,corto,8,6,14,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:18:12,00:18:12,0.000,14,corto,4,8,15,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:18:14,00:18:14,0.000,15,corto,7,4,14,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:18:19,00:18:19,0.000,14,corto,2,7,13,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:18:21,00:18:21,0.000,13,medio,3,2,16,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:18:24,00:18:24,0.000,16,centro aereo,9,3,20,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Remate cabeza,,00:18:31,00:18:31,0.000,20,Facil,Rival,9,23,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:18:32,00:18:32,0.000,20,Interceptado,,9,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:18:57,00:18:57,0.000,15,corto,8,6,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:18:59,00:18:59,0.000,18,corto,10,8,15,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:19:03,00:19:03,0.000,15,corto,6,10,12,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:19:05,00:19:05,0.000,9,medio,1,6,3,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:19:12,00:19:12,0.000,3,medio,2,1,7,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:19:17,00:19:17,0.000,7,largo,9,2,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:19:17,00:19:17,0.000,7,Interceptado,,2,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:19:28,00:19:28,0.000,13,corto,5,10,13,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:19:30,00:19:30,0.000,13,corto,10,5,13,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:19:35,00:19:35,0.000,13,corto,3,5,13,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:19:40,00:19:40,0.000,10,corto,2,3,10,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:19:42,00:19:42,0.000,10,largo,Rival,3,13,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:19:42,00:19:42,0.000,10,Interceptado,,3,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:19:57,00:19:57,0.000,12,corto,6,7,9,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:20:05,00:20:05,0.000,9,medio,1,6,3,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:20:07,00:20:07,0.000,5,medio,2,1,2,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:20:12,00:20:12,0.000,2,medio,6,2,5,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:20:16,00:20:16,0.000,5,corto,1,6,3,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:20:23,00:20:23,0.000,3,medio,11,1,7,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:20:25,00:20:25,0.000,7,corto,8,11,8,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:20:29,00:20:29,0.000,9,corto,4,8,9,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:20:31,00:20:31,0.000,12,corto,8,4,14,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:20:46,00:20:46,0.000,4,S arquero mano,2,1,7,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:20:50,00:20:50,0.000,7,corto,3,2,7,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:20:52,00:20:52,0.000,10,corto,2,3,7,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:20:56,00:20:56,0.000,7,corto,1,2,4,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:21:03,00:21:03,0.000,4,largo,9,1,13,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:21:09,00:21:09,0.000,8,corto,3,2,7,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:21:12,00:21:12,0.000,7,medio,1,3,2,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:21:17,00:21:17,0.000,4,corto,6,1,9,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:21:20,00:21:20,0.000,9,corto,4,6,9,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:21:25,00:21:25,0.000,9,corto,5,4,8,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:21:29,00:21:29,0.000,8,largo,9,5,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:21:36,00:21:36,0.000,17,corto,7,9,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:21:36,00:21:36,0.000,17,corto,3,7,16,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:21:41,00:21:41,0.000,17,corto,5,3,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:21:44,00:21:44,0.000,17,corto,9,5,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Remate pie,,00:21:48,00:21:48,0.000,17,Media distancia,Rival,9,20,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:21:48,00:21:48,0.000,17,Balon afuera fondo,,9,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:22:35,00:22:35,0.000,15,corto,4,10,12,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:22:39,00:22:39,0.000,12,medio,1,4,5,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:22:43,00:22:43,0.000,5,medio,2,1,1,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:22:47,00:22:47,0.000,1,medio,1,2,3,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:22:57,00:22:57,0.000,4,corto,6,1,9,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:22:59,00:22:59,0.000,9,corto,4,6,9,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:23:04,00:23:04,0.000,9,largo,11,4,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:23:16,00:23:16,0.000,11,corto,4,8,12,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:23:18,00:23:18,0.000,12,corto,8,4,12,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:23:22,00:23:22,0.000,12,corto,6,8,9,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:23:24,00:23:24,0.000,9,medio,2,6,7,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:23:28,00:23:28,0.000,7,medio,1,2,3,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:23:31,00:23:31,0.000,3,medio,6,1,9,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:23:38,00:23:38,0.000,9,largo,11,6,18,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Falta,,00:23:43,00:23:43,0.000,18,Hecha,,11,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Arquero,,00:24:19,00:24:19,0.000,3,Remate atajable,,1,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:24:24,00:24:24,0.000,4,S arquero mano,7,1,11,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:24:28,00:24:28,0.000,11,corto,10,7,12,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:24:32,00:24:32,0.000,12,medio,8,10,11,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:24:36,00:24:36,0.000,11,medio,3,8,13,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:24:40,00:24:40,0.000,13,corto,5,3,10,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:24:41,00:24:41,0.000,10,corto,10,5,14,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:24:43,00:24:43,0.000,11,corto,5,10,10,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:24:47,00:24:47,0.000,10,corto,7,5,14,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:24:48,00:24:48,0.000,14,corto,Rival,7,15,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:24:48,00:24:48,0.000,14,Interceptado,,7,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Falta,,00:24:56,00:24:56,0.000,8,Hecha,,2,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:26:28,00:26:28,0.000,3,S arquero pie,3,1,10,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:26:29,00:26:29,0.000,10,corto,8,3,10,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Falta,,00:27:17,00:27:17,0.000,10,Recibida,,8,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:27:40,00:27:40,0.000,8,corto,6,1,9,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:27:45,00:27:45,0.000,9,largo,Rival,6,18,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:27:45,00:27:45,0.000,9,Interceptado,,6,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:28:20,00:28:20,0.000,16,corto,8,11,13,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:28:23,00:28:23,0.000,16,corto,Rival,8,17,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:28:23,00:28:23,0.000,16,Interceptado,,8,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Falta,,00:28:56,00:28:56,0.000,9,Recibida,,4,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:29:04,00:29:04,0.000,5,largo,3,1,7,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:29:06,00:29:06,0.000,7,corto,Rival,3,13,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:29:06,00:29:06,0.000,7,Interceptado,,3,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:29:23,00:29:23,0.000,15,corto,9,4,18,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Arquero,,00:30:00,00:30:00,0.000,3,Salvada/Atajada,,1,Volver,Media,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:31:57,00:31:57,0.000,7,corto,3,8,7,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:32:00,00:32:00,0.000,7,largo,11,3,13,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:32:01,00:32:01,0.000,7,Interceptado,,3,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:32:28,00:32:28,0.000,2,corto,1,2,3,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:32:32,00:32:32,0.000,3,largo,9,1,14,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:33:01,00:33:01,0.000,12,largo,Rival,10,14,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:33:01,00:33:01,0.000,12,Interceptado,,10,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:36:10,00:36:10,0.000,3,S arquero pie,9,1,18,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Perdida,,00:36:10,00:36:10,0.000,3,Interceptado,,1,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Falta,,00:36:12,00:36:12,0.000,18,Hecha,,9,Volver,,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,Pase,,00:36:50,00:36:50,0.000,6,largo,9,4,12,,
