Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Optional Column
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Duelo,,00:15:51,00:15:51,0.000,10,Aereo,,3,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Recuperacion,,00:15:52,00:15:52,0.000,10,Intercepcion aereo,,3,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Perdida,,00:16:03,00:16:03,0.000,14,Robo,,5,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Recuperacion,,00:16:22,00:16:22,0.000,6,Duelo,,4,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Perdida,,00:16:25,00:16:25,0.000,6,Balon afuera lateral,,4,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Recuperacion,,00:16:43,00:16:43,0.000,5,Intercepcion,,5,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Pelota parada,,00:16:53,00:16:53,0.000,8,Tiro libre,6,8,8,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Perdida,,00:17:07,00:17:07,0.000,21,Interceptado,,11,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Recuperacion,,00:17:20,00:17:20,0.000,12,Duelo,,4,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Pelota parada,,00:17:37,00:17:37,0.000,12,Tiro libre,1,6,4,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Perdida,,00:18:26,00:18:26,0.000,20,Interceptado,,9,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Recuperacion,,00:18:40,00:18:40,0.000,14,intercepcion anticipo,,10,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Perdida,,00:18:42,00:18:42,0.000,17,Interceptado,,7,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Recuperacion,,00:18:54,00:18:54,0.000,15,intercepcion anticipo,,4,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Pelota parada,,00:19:27,00:19:27,0.000,13,Lateral corto,10,3,13,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Perdida,,00:19:29,00:19:29,0.000,13,Error tecnico,,5,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Recuperacion,,00:19:34,00:19:34,0.000,13,Robo,,5,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Perdida,,00:19:41,00:19:41,0.000,10,intercepcion aereo,9,2,13,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Recuperacion,,00:19:54,00:19:54,0.000,12,Encontrada,,7,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Duelo,,00:20:31,00:20:31,0.000,15,Gambeta a favor,,8,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Perdida,,00:20:34,00:20:34,0.000,14,Robo,,8,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Recuperacion,,00:20:40,00:20:40,0.000,8,Encontrada,,1,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Perdida,,00:21:03,00:21:03,0.000,13,Duelo,,9,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Recuperacion,,00:21:07,00:21:07,0.000,10,intercepcion anticipo,,2,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Perdida,,00:22:11,00:22:11,0.000,17,Balon afuera fondo,,9,Volver,
2022/06/18,SARMIENTO_ACCIONES,SARMIENTO_ACCIONESFINAL,17:25:55,19:40:45,Duelo,,00:22:31,00:22:31,0.000,14,Aereo,,10,Volver,
