Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Optional Column
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Pelota parada,,00:15:41,00:15:41,0.000,6,Lateral largo,Rival,4,9,
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Perdida,,00:15:41,00:15:41,0.000,6,intercepcion aereo,9,4,9,
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Recuperacion,,00:16:07,00:16:07,0.000,9,Encontrada,,8,Volver,
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Perdida,,00:16:10,00:16:10,0.000,9,Duelo,,8,Volver,
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Recuperacion,,00:19:35,00:19:35,0.000,7,intercepcion anticipo,,3,Volver,
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Duelo,,00:19:42,00:19:42,0.000,10,Aereo,,9,Volver,
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Perdida,,00:19:43,00:19:43,0.000,10,Duelo,,9,Volver,
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Recuperacion,,00:19:44,00:19:44,0.000,10,Duelo,,5,Volver,
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Pelota parada,,00:20:10,00:20:10,0.000,12,Lateral largo,9,4,15,
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Pelota parada,,00:21:36,00:21:36,0.000,24,Tiro de esquina,7,3,24,
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Perdida,,00:21:44,00:21:44,0.000,21,Balon afuera fondo,,6,Volver,
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Duelo,,00:22:12,00:22:12,0.000,2,Disputa suelo,,6,Volver,
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Recuperacion,,00:22:13,00:22:13,0.000,2,Robo,,6,Volver,
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Duelo,,00:22:21,00:22:21,0.000,1,Gambeta a favor,,3,Volver,
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Perdida,,00:22:34,00:22:34,0.000,24,intercepcion aereo,9,4,21,
2022/06/24,INDEPTE_FECHA4,INDEPTE_FECHA4_ACCIONES,09:44:36,11:56:36,Recuperacion,,00:22:40,00:22:40,0.000,15,Intercepcion aereo,,2,Volver,
