Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas_final,Jugador2,Jugador,Calificacion,Zonas,Categoria,Optional Column
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:16:35,00:16:35,0.000,2,6,1,,3,S arquero pie,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:16:42,00:16:42,0.000,9,2,6,,7,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:16:47,00:16:47,0.000,4,1,2,,9,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:16:50,00:16:50,0.000,7,6,1,,4,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:16:55,00:16:55,0.000,8,1,6,,7,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:16:57,00:16:57,0.000,9,2,1,,8,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:17:03,00:17:03,0.000,17,11,2,,9,largo,
2022/07/06,independiente,pases,17:20:45,19:32:44,Arquero,,00:18:12,00:18:12,0.000,Volver,,1,,3,Rebote/Despeje,
2022/07/06,independiente,pases,17:20:45,19:32:44,Arquero,,00:18:45,00:18:45,0.000,Volver,,1,Bueno,3,Salvada/Atajada,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:18:55,00:18:55,0.000,7,6,1,,3,S arquero mano,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:18:59,00:18:59,0.000,7,3,6,,7,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:19:01,00:19:01,0.000,7,6,3,,7,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:19:07,00:19:07,0.000,14,11,6,,7,largo,
2022/07/06,independiente,pases,17:20:45,19:32:44,Perdida,,00:19:10,00:19:10,0.000,Volver,,6,,7,Interceptado,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:19:35,00:19:35,0.000,11,11,3,,7,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:20:10,00:20:10,0.000,15,9,4,,12,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:20:14,00:20:14,0.000,24,7,9,,15,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Remate pie,,00:20:18,00:20:18,0.000,22,Rival,7,,24,Remate bloqueado,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:21:39,00:21:39,0.000,21,6,9,,24,centro aereo,
2022/07/06,independiente,pases,17:20:45,19:32:44,Remate cabeza,,00:21:41,00:21:41,0.000,22,Rival,6,,21,Remate bloqueado,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:22:14,00:22:14,0.000,2,3,5,,7,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:22:22,00:22:22,0.000,2,6,3,,1,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:22:23,00:22:23,0.000,9,4,6,,7,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:22:35,00:22:35,0.000,22,Rival,4,,24,centro aereo,
2022/07/06,independiente,pases,17:20:45,19:32:44,Perdida,,00:22:35,00:22:35,0.000,Volver,,4,,24,Interceptado,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:22:27,00:22:27,0.000,9,8,4,,9,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:22:29,00:22:29,0.000,15,4,8,,15,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:25:16,00:25:16,0.000,5,2,1,,3,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:25:17,00:25:17,0.000,6,4,2,,6,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:25:24,00:25:24,0.000,15,9,4,,12,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:25:25,00:25:25,0.000,15,11,9,,15,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:25:28,00:25:28,0.000,12,5,11,,15,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:25:34,00:25:34,0.000,12,4,5,,12,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:25:37,00:25:37,0.000,14,10,4,,12,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:25:41,00:25:41,0.000,13,3,10,,14,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:25:46,00:25:46,0.000,14,8,3,,17,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Remate pie,,00:25:50,00:25:50,0.000,22,Rival,8,,17,Media distancia,
2022/07/06,independiente,pases,17:20:45,19:32:44,Perdida,,00:25:50,00:25:50,0.000,Volver,,8,,17,Balon afuera fondo,
2022/07/06,independiente,pases,17:20:45,19:32:44,Falta,,00:27:28,00:27:28,0.000,Volver,,8,,9,Recibida,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:27:50,00:27:50,0.000,9,2,6,,7,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Falta,,00:27:54,00:27:54,0.000,Volver,,2,,12,Recibida,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:28:26,00:28:26,0.000,10,3,1,,4,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:28:29,00:28:29,0.000,10,9,3,,10,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:28:30,00:28:30,0.000,10,3,9,,10,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:28:33,00:28:33,0.000,16,11,3,,10,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Perdida,,00:28:33,00:28:33,0.000,Volver,,3,,10,Interceptado,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:29:20,00:29:20,0.000,7,3,5,,7,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:29:21,00:29:21,0.000,10,10,3,,7,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:29:27,00:29:27,0.000,2,2,10,,7,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:29:28,00:29:28,0.000,7,5,2,,2,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:29:31,00:29:31,0.000,11,5,5,,7,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:29:42,00:29:42,0.000,24,4,7,,17,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Perdida,,00:29:44,00:29:44,0.000,Volver,,7,,17,Balon afuera lateral,
2022/07/06,independiente,pases,17:20:45,19:32:44,Arquero,,00:30:24,00:30:24,0.000,Volver,,1,,3,Remate atajable,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:30:34,00:30:34,0.000,11,5,1,,8,S arquero mano,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:30:37,00:30:37,0.000,16,11,5,,11,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Remate pie,,00:30:44,00:30:44,0.000,22,Rival,11,,19,Remate bloqueado,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:30:56,00:30:56,0.000,15,4,8,,17,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:31:01,00:31:01,0.000,11,2,4,,15,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:31:04,00:31:04,0.000,14,8,2,,11,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:31:06,00:31:06,0.000,18,7,8,,15,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Perdida,,00:31:07,00:31:07,0.000,Volver,,8,,15,Interceptado,
2022/07/06,independiente,pases,17:20:45,19:32:44,Falta,,00:31:26,00:31:26,0.000,Volver,,2,,12,Recibida,
2022/07/06,independiente,pases,17:20:45,19:32:44,Falta,,00:33:29,00:33:29,0.000,Volver,,4,,6,Recibida,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:35:34,00:35:34,0.000,10,3,4,,12,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:35:39,00:35:39,0.000,7,6,3,,10,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:35:43,00:35:43,0.000,9,2,6,,7,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:35:53,00:35:53,0.000,4,1,2,,9,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:35:56,00:35:56,0.000,7,6,1,,4,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:36:02,00:36:02,0.000,8,1,6,,7,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:36:08,00:36:08,0.000,11,5,1,,8,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:36:09,00:36:09,0.000,9,2,5,,11,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:36:12,00:36:12,0.000,15,4,2,,12,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:36:14,00:36:14,0.000,15,8,4,,15,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:36:18,00:36:18,0.000,21,9,8,,18,centro aereo,
2022/07/06,independiente,pases,17:20:45,19:32:44,Perdida,,00:36:19,00:36:19,0.000,Volver,,8,,18,Interceptado,
2022/07/06,independiente,pases,17:20:45,19:32:44,Falta,,00:38:48,00:38:48,0.000,Volver,,8,,12,Recibida,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:40:25,00:40:25,0.000,7,6,1,,3,S arquero pie,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:40:29,00:40:29,0.000,9,2,6,,7,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:40:33,00:40:33,0.000,12,5,2,,9,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:40:36,00:40:36,0.000,18,8,5,,12,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:40:37,00:40:37,0.000,18,7,8,,18,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:41:51,00:41:51,0.000,8,2,4,,9,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:41:55,00:41:55,0.000,10,3,2,,8,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:41:57,00:41:57,0.000,10,10,3,,10,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:42:02,00:42:02,0.000,4,1,10,,10,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:42:08,00:42:08,0.000,12,8,1,,4,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:42:09,00:42:09,0.000,12,4,8,,12,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:42:14,00:42:14,0.000,12,8,4,,12,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Perdida,,00:42:14,00:42:14,0.000,Volver,,4,,12,Robo,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:43:46,00:43:46,0.000,18,7,4,,18,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Falta,,00:43:55,00:43:55,0.000,Volver,,7,,18,Recibida,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:45:52,00:45:52,0.000,15,8,4,,12,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:45:56,00:45:56,0.000,21,9,8,,18,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:45:59,00:45:59,0.000,17,11,9,,21,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Remate pie,,00:46:00,00:46:00,0.000,22,Rival,11,,17,Corta distancia,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:46:30,00:46:30,0.000,24,4,9,,24,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:46:00,00:46:00,0.000,23,7,11,,17,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:46:34,00:46:34,0.000,17,9,4,,24,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:46:34,00:46:34,0.000,14,5,9,,17,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:46:36,00:46:36,0.000,17,3,5,,17,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:46:38,00:46:38,0.000,14,2,3,,17,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:46:41,00:46:41,0.000,8,1,2,,12,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:46:46,00:46:46,0.000,9,2,1,,8,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:46:48,00:46:48,0.000,12,5,2,,9,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:46:50,00:46:50,0.000,15,8,5,,12,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:48:43,00:48:43,0.000,11,6,3,,10,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:48:51,00:48:51,0.000,12,2,6,,11,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:48:54,00:48:54,0.000,8,1,2,,9,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:48:58,00:48:58,0.000,10,6,1,,8,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Gol rival,,00:47:29,00:47:29,0.000,Volver,,,,3,Indirecta,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:50:57,00:50:57,0.000,12,4,8,,12,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:50:59,00:50:59,0.000,15,11,4,,12,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:51:00,00:51:00,0.000,15,8,11,,15,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:51:01,00:51:01,0.000,18,7,8,,15,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:51:04,00:51:04,0.000,15,8,7,,18,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:51:06,00:51:06,0.000,18,11,8,,18,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:51:08,00:51:08,0.000,24,7,11,,18,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:51:12,00:51:12,0.000,18,8,7,,24,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:51:14,00:51:14,0.000,18,4,8,,18,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Falta,,00:52:48,00:52:48,0.000,Volver,,11,,7,Hecha,
2022/07/06,independiente,pases,17:20:45,19:32:44,Tarjeta,,00:52:48,00:52:48,0.000,Volver,,11,,7,Amarilla,
2022/07/06,independiente,pases,17:20:45,19:32:44,Falta,,00:54:15,00:54:15,0.000,Volver,,11,,15,Recibida,
2022/07/06,independiente,pases,17:20:45,19:32:44,Falta,,00:55:26,00:55:26,0.000,Volver,,7,,15,Hecha,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:56:22,00:56:22,0.000,4,1,6,,7,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:56:27,00:56:27,0.000,9,2,1,,4,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:56:29,00:56:29,0.000,4,1,2,,9,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:56:33,00:56:33,0.000,7,6,1,,4,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:56:35,00:56:35,0.000,8,5,6,,7,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Falta,,00:56:39,00:56:39,0.000,Volver,,5,,8,Recibida,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:56:47,00:56:47,0.000,8,2,4,,12,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:56:49,00:56:49,0.000,12,5,2,,8,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:56:53,00:56:53,0.000,18,8,5,,12,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:56:58,00:56:58,0.000,21,7,8,,21,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:57:00,00:57:00,0.000,17,10,7,,21,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Remate pie,,00:57:01,00:57:01,0.000,23,Rival,10,,17,Corta distancia,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:57:47,00:57:47,0.000,5,1,4,,9,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,00:57:51,00:57:51,0.000,15,8,1,,5,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Falta,,00:59:12,00:59:12,0.000,Volver,,6,,13,Recibida,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,01:00:19,01:00:19,0.000,2,1,3,,7,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,01:00:26,01:00:26,0.000,13,10,1,,2,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,01:00:30,01:00:30,0.000,10,3,10,,13,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,01:00:32,01:00:32,0.000,10,5,3,,10,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Sustitucion,,01:17:33,01:17:33,0.000,Volver,15,,,,,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,01:17:35,01:17:35,0.000,11,5,9,,14,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,01:17:37,01:17:37,0.000,9,2,5,,11,corto,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,01:17:41,01:17:41,0.000,10,15,2,,9,medio,
2022/07/06,independiente,pases,17:20:45,19:32:44,Perdida,,01:17:43,01:17:43,0.000,Volver,,2,,9,Robo,
2022/07/06,independiente,pases,17:20:45,19:32:44,Arquero,,01:19:27,01:19:27,0.000,6,Rival,1,,3,Remate atajable,
2022/07/06,independiente,pases,17:20:45,19:32:44,Pase,,01:19:31,01:19:31,0.000,18,7,1,,3,S arquero pie,
2022/07/06,independiente,pases,17:20:45,19:32:44,Falta,,01:19:44,01:19:44,0.000,Volver,,7,,12,Recibida,
2022/07/06,independiente,pases,17:20:45,19:32:44,Falta,,01:20:54,01:20:54,0.000,Volver,,7,,14,Recibida,
