Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Optional Column
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Perdida,,00:18:43,00:18:43,0.000,18,Duelo,,11,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Pelota parada,,00:19:03,00:19:03,0.000,15,Lateral corto,11,4,18,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Perdida,,00:19:19,00:19:19,0.000,13,Interceptado,7,3,17,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Recuperacion,,00:19:20,00:19:20,0.000,14,intercepcion anticipo,,5,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Perdida,,00:19:39,00:19:39,0.000,7,Error tecnico,,6,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Duelo,,00:20:17,00:20:17,0.000,11,Aereo,,9,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Recuperacion,,00:20:17,00:20:17,0.000,11,Duelo,,9,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Perdida,,00:20:19,00:20:19,0.000,11,Interceptado,11,9,14,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Recuperacion,,00:20:31,00:20:31,0.000,2,Encontrada,,3,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Perdida,,00:20:36,00:20:36,0.000,1,Interceptado,11,3,7,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Recuperacion,,00:20:37,00:20:37,0.000,7,Robo,,11,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Perdida,,00:20:44,00:20:44,0.000,1,Interceptado,7,3,7,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Recuperacion,,00:20:46,00:20:46,0.000,7,intercepcion anticipo,,5,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Pelota parada,,00:21:06,00:21:06,0.000,10,Tiro libre,10,3,10,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Duelo,,00:21:17,00:21:17,0.000,17,Gambeta a favor,,7,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Perdida,,00:21:18,00:21:18,0.000,17,Duelo,,9,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Duelo,,00:21:20,00:21:20,0.000,17,Disputa suelo,,11,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Recuperacion,,00:21:21,00:21:21,0.000,17,Duelo,,11,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Perdida,,00:22:03,00:22:03,0.000,16,Interceptado,10,3,16,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Duelo,,00:22:18,00:22:18,0.000,10,Disputa suelo,,3,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Recuperacion,,00:22:19,00:22:19,0.000,10,Robo,,3,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Duelo,,00:22:53,00:22:53,0.000,11,Aereo,,7,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Perdida,,00:22:53,00:22:53,0.000,11,Duelo,,7,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Recuperacion,,00:23:21,00:23:21,0.000,6,intercepcion anticipo,,8,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Perdida,,00:23:26,00:23:26,0.000,6,Balon afuera lateral,,8,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Recuperacion,,00:24:24,00:24:24,0.000,9,intercepcion anticipo,,2,Volver,
2022/06/29,NEWELLS_FECHA5,NEWELLS_FECHA5ACCIONES,11:22:28,13:37:18,Duelo,,00:24:27,00:24:27,0.000,9,Gambeta a favor,,2,Volver,
