Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas_final,Jugador2,Calificacion,Zonas,Jugador,Categoria,Optional Column
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:18:29,00:18:29,0.000,11,5,,14,9,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:18:33,00:18:33,0.000,9,4,,11,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:18:38,00:18:38,0.000,15,9,,9,4,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:19:05,00:19:05,0.000,18,8,,18,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:19:10,00:19:10,0.000,14,5,,17,8,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:19:13,00:19:13,0.000,13,3,,14,5,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:19:19,00:19:19,0.000,17,11,,13,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:19:19,00:19:19,0.000,Volver,,,13,3,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:19:32,00:19:32,0.000,12,2,,15,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:19:36,00:19:36,0.000,8,6,,9,2,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:19:40,00:19:40,0.000,13,10,,7,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:19:40,00:19:40,0.000,Volver,,,7,6,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:20:16,00:20:16,0.000,13,11,,3,1,S arquero pie,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:20:17,00:20:17,0.000,Volver,,,3,1,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:20:51,00:20:51,0.000,Volver,,,10,9,Recibida,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:21:10,00:21:10,0.000,15,4,,10,10,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:21:18,00:21:18,0.000,17,9,,15,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:21:30,00:21:30,0.000,11,6,,13,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:21:34,00:21:34,0.000,18,4,,11,6,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:21:40,00:21:40,0.000,15,2,,18,4,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:21:44,00:21:44,0.000,13,3,,12,2,medio,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:22:23,00:22:23,0.000,16,11,,13,3,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Falta,,00:22:25,00:22:25,0.000,Volver,,,16,11,Hecha,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:24:47,00:24:47,0.000,18,9,,15,7,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:24:52,00:24:52,0.000,18,7,,18,9,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:24:53,00:24:53,0.000,17,10,,18,7,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Perdida,,00:24:54,00:24:54,0.000,Volver,,,18,7,Interceptado,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:25:08,00:25:08,0.000,10,10,,7,6,corto,
2022/07/13,pases Newells,pases ,13:04:47,15:19:37,Pase,,00:25:10,00:25:10,0.000,7,3,,10,10,corto,
