Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas_final,Jugador2,Jugador,Calificacion,Zonas,Categoria,Optional Column
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:04:23,00:04:23,0.000,9,4,8,,9,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Perdida,,00:04:28,00:04:28,0.000,Volver,,4,,12,Balon afuera lateral,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:05:51,00:05:51,0.000,13,10,1,,3,S arquero pie,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Perdida,,00:05:52,00:05:52,0.000,Volver,,1,,3,Interceptado,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:08:25,00:08:25,0.000,5,2,1,,3,S arquero pie,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:08:35,00:08:35,0.000,15,8,2,,5,medio,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Falta,,00:09:45,00:09:45,0.000,Volver,,9,,13,Recibida,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Perdida,,00:10:51,00:10:51,0.000,Volver,Rival,2,,21,Balon afuera fondo,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Remate cabeza,,00:10:43,00:10:43,0.000,22,Rival,2,,21,Dificil,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Falta,,00:11:30,00:11:30,0.000,Volver,,6,,9,Recibida,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:11:53,00:11:53,0.000,7,6,2,,8,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:11:58,00:11:58,0.000,8,2,6,,7,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:12:01,00:12:01,0.000,9,4,2,,8,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Perdida,,00:12:03,00:12:03,0.000,Volver,,2,,8,Balon afuera lateral,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:13:50,00:13:50,0.000,11,6,2,,10,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:13:54,00:13:54,0.000,11,2,6,,11,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:13:58,00:13:58,0.000,16,10,2,,11,medio,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Perdida,,00:13:59,00:13:59,0.000,Volver,,2,,11,Interceptado,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:14:11,00:14:11,0.000,8,6,2,,10,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:14:19,00:14:19,0.000,15,7,6,,12,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Perdida,,00:14:19,00:14:19,0.000,Volver,,6,,12,Interceptado,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:15:14,00:15:14,0.000,2,2,1,,3,S arquero pie,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:15:20,00:15:20,0.000,9,4,2,,2,medio,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Arquero,,00:15:38,00:15:38,0.000,7,Rival,1,Bueno,3,Salvada/Atajada,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:15:42,00:15:42,0.000,9,5,1,,3,S arquero mano,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:15:49,00:15:49,0.000,18,7,5,,15,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Perdida,,00:15:50,00:15:50,0.000,Volver,,5,,15,Interceptado,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:16:55,00:16:55,0.000,15,8,4,,12,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:16:56,00:16:56,0.000,15,5,8,,15,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:16:56,00:16:56,0.000,15,8,5,,15,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Perdida,,00:17:01,00:17:01,0.000,Volver,,5,,15,Interceptado,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:17:21,00:17:21,0.000,11,5,2,,11,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:17:27,00:17:27,0.000,12,6,5,,11,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:17:31,00:17:31,0.000,11,5,6,,12,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:17:35,00:17:35,0.000,10,2,5,,11,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:17:36,00:17:36,0.000,13,10,2,,10,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:17:37,00:17:37,0.000,13,3,10,,13,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:17:40,00:17:40,0.000,17,9,3,,13,medio,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Perdida,,00:17:40,00:17:40,0.000,Volver,,3,,13,Interceptado,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Falta,,00:19:47,00:19:47,0.000,Volver,,5,,11,Recibida,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Falta,,00:20:29,00:20:29,0.000,Volver,,3,,8,Hecha,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:22:23,00:22:23,0.000,15,7,1,,3,S arquero pie,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:22:29,00:22:29,0.000,15,8,7,,15,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:22:33,00:22:33,0.000,11,2,8,,15,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:22:38,00:22:38,0.000,12,6,2,,11,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:22:41,00:22:41,0.000,11,2,6,,12,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:22:44,00:22:44,0.000,14,5,2,,11,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:22:45,00:22:45,0.000,11,2,5,,14,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:22:48,00:22:48,0.000,13,3,2,,11,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:22:52,00:22:52,0.000,10,2,3,,13,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:22:54,00:22:54,0.000,12,8,2,,10,medio,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:22:56,00:22:56,0.000,12,6,8,,12,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:23:00,00:23:00,0.000,8,2,6,,9,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:23:03,00:23:03,0.000,13,5,2,,10,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:23:04,00:23:04,0.000,10,2,5,,13,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:23:08,00:23:08,0.000,9,6,2,,7,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:23:11,00:23:11,0.000,7,2,6,,9,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:23:16,00:23:16,0.000,10,3,2,,7,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:23:36,00:23:36,0.000,24,10,8,,18,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Pase,,00:23:39,00:23:39,0.000,21,7,10,,24,corto,
2022/07/11,Pases Arsenal ,Pases Arsenal ,21:22:05,23:24:23,Remate pie,,00:23:41,00:23:41,0.000,22,Rival,7,,21,Remate bloqueado,
