Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Optional Column
2022/07/03,ARSENAL_FECHA6,ARSENALF6_ACCIONES,21:11:15,23:13:34,Perdida,,00:05:56,00:05:56,0.000,3,intercepcion aereo,10,1,10,
2022/07/03,ARSENAL_FECHA6,ARSENALF6_ACCIONES,21:11:15,23:13:34,Recuperacion,,00:05:58,00:05:58,0.000,7,Intercepcion,,6,Volver,
2022/07/03,ARSENAL_FECHA6,ARSENALF6_ACCIONES,21:11:15,23:13:34,Perdida,,00:06:04,00:06:04,0.000,10,Interceptado,9,7,13,
2022/07/03,ARSENAL_FECHA6,ARSENALF6_ACCIONES,21:11:15,23:13:34,Recuperacion,,00:06:28,00:06:28,0.000,10,Intercepcion aereo,,3,Volver,
2022/07/03,ARSENAL_FECHA6,ARSENALF6_ACCIONES,21:11:15,23:13:34,Pelota parada,,00:07:05,00:07:05,0.000,19,Lateral corto,9,3,19,
2022/07/03,ARSENAL_FECHA6,ARSENALF6_ACCIONES,21:11:15,23:13:34,Perdida,,00:07:10,00:07:10,0.000,19,Duelo,,9,Volver,
2022/07/03,ARSENAL_FECHA6,ARSENALF6_ACCIONES,21:11:15,23:13:34,Recuperacion,,00:07:54,00:07:54,0.000,12,Encontrada,,5,Volver,
2022/07/03,ARSENAL_FECHA6,ARSENALF6_ACCIONES,21:11:15,23:13:34,Duelo,,00:07:57,00:07:57,0.000,12,Disputa suelo,,5,Volver,
2022/07/03,ARSENAL_FECHA6,ARSENALF6_ACCIONES,21:11:15,23:13:34,Perdida,,00:07:58,00:07:58,0.000,12,Duelo,,5,Volver,
2022/07/03,ARSENAL_FECHA6,ARSENALF6_ACCIONES,21:11:15,23:13:34,Recuperacion,,00:09:38,00:09:38,0.000,7,intercepcion anticipo,,5,Volver,
2022/07/03,ARSENAL_FECHA6,ARSENALF6_ACCIONES,21:11:15,23:13:34,Duelo,,00:09:46,00:09:46,0.000,13,Gambeta a favor,,9,Volver,
