Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Optional Column
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:08:21,00:08:21,0.000,7,Intercepcion,,5,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:08:24,00:08:24,0.000,10,Interceptado,9,10,14,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:09:00,00:09:00,0.000,12,Intercepcion,,4,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Pelota parada,,00:09:14,00:09:14,0.000,12,Lateral largo,9,4,18,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Pelota parada,,00:09:48,00:09:48,0.000,24,Tiro de esquina,10,3,24,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Pelota parada,,00:10:15,00:10:15,0.000,24,Tiro de esquina,10,3,24,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Duelo,,00:10:19,00:10:19,0.000,24,Gambeta a favor,,10,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:10:19,00:10:19,0.000,24,Duelo,,10,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:10:21,00:10:21,0.000,24,Intercepcion,,4,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:10:26,00:10:26,0.000,23,Atajada,,4,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:10:49,00:10:49,0.000,19,Intercepcion,,9,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:10:55,00:10:55,0.000,19,Interceptado,10,11,16,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:11:00,00:11:00,0.000,15,intercepcion anticipo,,4,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Duelo,,00:11:04,00:11:04,0.000,15,Gambeta a favor,,4,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:11:06,00:11:06,0.000,18,Balon afuera fondo,,4,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Duelo,,00:11:43,00:11:43,0.000,14,Aereo,,8,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:11:44,00:11:44,0.000,14,Intercepcion aereo,,8,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:11:51,00:11:51,0.000,20,Balon afuera fondo,,5,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:12:58,00:12:58,0.000,1,Duelo,,5,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Pelota parada,,00:13:11,00:13:11,0.000,1,Tiro libre,2,6,4,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Duelo,,00:13:19,00:13:19,0.000,9,Gambeta a favor,,4,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Pelota parada,,00:14:39,00:14:39,0.000,18,Tiro libre,,5,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:14:40,00:14:40,0.000,18,Atajada,,5,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Duelo,,00:14:54,00:14:54,0.000,16,Disputa suelo,,10,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:14:54,00:14:54,0.000,16,Duelo,,10,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:15:02,00:15:02,0.000,19,Balon afuera fondo,,11,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:15:29,00:15:29,0.000,15,Encontrada,,4,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Pelota parada,,00:15:53,00:15:53,0.000,7,Lateral corto,5,3,7,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:15:56,00:15:56,0.000,7,Interceptado,11,5,14,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:16:02,00:16:02,0.000,14,intercepcion anticipo,,10,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:16:08,00:16:08,0.000,18,Error tecnico,,7,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:17:08,00:17:08,0.000,12,Encontrada,,2,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Duelo,,00:17:18,00:17:18,0.000,21,Disputa suelo,,9,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:17:19,00:17:19,0.000,21,Duelo,,9,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:18:30,00:18:30,0.000,1,Intercepcion aereo,,6,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:18:37,00:18:37,0.000,7,Interceptado,11,5,7,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:18:39,00:18:39,0.000,1,intercepcion anticipo,,3,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:18:42,00:18:42,0.000,11,Error tecnico,,7,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:18:50,00:18:50,0.000,8,Encontrada,,6,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:18:53,00:18:53,0.000,11,Interceptado,10,9,11,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Duelo,,00:19:44,00:19:44,0.000,14,Aereo,,11,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Duelo,,00:19:53,00:19:53,0.000,15,Gambeta a favor,,4,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:19:53,00:19:53,0.000,15,Interceptado,9,4,17,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Pelota parada,,00:20:25,00:20:25,0.000,18,Lateral largo,9,4,24,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:20:27,00:20:27,0.000,24,Interceptado,,9,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:20:28,00:20:28,0.000,17,Encontrada,,3,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Duelo,,00:20:31,00:20:31,0.000,17,Gambeta a favor,,3,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:21:28,00:21:28,0.000,21,Atajada,,11,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:22:47,00:22:47,0.000,15,Error tecnico,,4,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:25:04,00:25:04,0.000,8,Encontrada,,10,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Pelota parada,,00:25:21,00:25:21,0.000,11,Tiro libre,4,6,12,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:25:40,00:25:40,0.000,24,Duelo,,9,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:26:21,00:26:21,0.000,8,intercepcion anticipo,,6,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Duelo,,00:26:26,00:26:26,0.000,17,Aereo,,9,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Perdida,,00:26:27,00:26:27,0.000,17,Duelo,,9,Volver,
2022/07/11,CCO_ACCIONES,CCO_ACCIONES2,11:28:18,13:38:23,Recuperacion,,00:26:28,00:26:28,0.000,14,intercepcion anticipo,,5,Volver,
