Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Dificultad,Optional Column
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:09:51,00:09:51,0.000,24,corto,5,3,15,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Remate pie,,00:09:56,00:09:56,0.000,15,Media distancia,Rival,5,22,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:09:56,00:09:56,0.000,15,Balon afuera fondo,,5,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Remate pie,,00:10:26,00:10:26,0.000,23,Corta distancia,Rival,4,22,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:10:26,00:10:26,0.000,23,Atajada,,4,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Remate pie,,00:11:05,00:11:05,0.000,18,Corta distancia,Rival,4,22,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:11:07,00:11:07,0.000,18,Atajada,,4,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:11:44,00:11:44,0.000,13,corto,5,10,13,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Remate pie,,00:11:49,00:11:49,0.000,16,Corta distancia,Rival,5,22,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:11:50,00:11:50,0.000,16,Balon afuera fondo,,5,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:13:15,00:13:15,0.000,9,corto,4,2,12,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:13:18,00:13:18,0.000,9,corto,5,4,9,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:13:19,00:13:19,0.000,9,corto,2,5,9,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:13:22,00:13:22,0.000,9,corto,5,2,8,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:13:24,00:13:24,0.000,8,corto,2,5,9,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:13:28,00:13:28,0.000,9,largo,9,2,15,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Falta,,00:13:29,00:13:29,0.000,18,Recibida,,9,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:14:55,00:14:55,0.000,13,corto,11,10,13,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:14:55,00:14:55,0.000,13,corto,10,11,13,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:14:58,00:14:58,0.000,14,medio,11,10,21,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:15:01,00:15:01,0.000,14,Robo,,10,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:15:32,00:15:32,0.000,12,corto,2,4,12,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:15:36,00:15:36,0.000,9,corto,1,2,4,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:15:38,00:15:38,0.000,4,corto,6,1,1,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Falta,,00:16:44,00:16:44,0.000,15,Hecha,,3,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Falta,,00:18:01,00:18:01,0.000,13,Hecha,,10,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:19:42,00:19:42,0.000,3,S arquero pie,11,1,14,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:19:44,00:19:44,0.000,14,corto,7,11,15,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:19:46,00:19:46,0.000,15,corto,4,7,15,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:19:57,00:19:57,0.000,15,medio,9,4,24,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:19:57,00:19:57,0.000,15,Interceptado,,4,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:21:25,00:21:25,0.000,15,medio,9,4,21,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Remate cabeza,,00:21:27,00:21:27,0.000,21,Dificil,Rival,9,22,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:21:28,00:21:28,0.000,21,Atajada,,9,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Gol rival,,00:21:49,00:21:49,0.000,4,Indirecta,1,,3,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:22:31,00:22:31,0.000,11,corto,4,8,12,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:22:34,00:22:34,0.000,12,corto,6,4,9,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:22:37,00:22:37,0.000,9,corto,5,6,11,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:22:42,00:22:42,0.000,12,corto,4,5,12,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:22:47,00:22:47,0.000,15,largo,Rival,4,22,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:22:48,00:22:48,0.000,15,Atajada,,4,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Falta,,00:23:49,00:23:49,0.000,1,Hecha,,3,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Falta,,00:25:08,00:25:08,0.000,11,Recibida,,8,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:25:25,00:25:25,0.000,12,corto,7,4,15,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:25:28,00:25:28,0.000,15,corto,4,7,12,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Pase,,00:25:30,00:25:30,0.000,15,corto,9,4,18,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Perdida,,00:25:31,00:25:31,0.000,18,Interceptado,,9,Volver,,
2022/07/14,central cordoba ,pases ,11:05:27,13:15:32,Remate pie,,00:27:17,00:27:17,0.000,15,Media distancia,Rival,5,22,,
