Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas_final,Jugador2,Jugador,Calificacion,Zonas,Categoria,Optional Column
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Falta,,00:18:50,00:18:50,0.000,Volver,,8,,7,Hecha,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:20:03,00:20:03,0.000,16,3,5,,16,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:20:05,00:20:05,0.000,21,9,3,,16,centro aereo,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:20:57,00:20:57,0.000,2,6,1,,3,S arquero pie,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:21:05,00:21:05,0.000,5,2,6,,2,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:21:10,00:21:10,0.000,2,6,2,,9,medio,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:21:17,00:21:17,0.000,12,4,6,,8,medio,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:21:21,00:21:21,0.000,15,7,4,,12,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:21:26,00:21:26,0.000,9,2,7,,15,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:21:30,00:21:30,0.000,8,6,2,,9,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:21:35,00:21:35,0.000,9,2,6,,8,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:21:37,00:21:37,0.000,8,1,2,,9,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:21:41,00:21:41,0.000,10,11,1,,4,medio,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Perdida,,00:21:42,00:21:42,0.000,Volver,,1,,4,Interceptado,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:21:54,00:21:54,0.000,7,6,3,,7,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:21:57,00:21:57,0.000,8,2,6,,7,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:22:04,00:22:04,0.000,17,9,2,,12,medio,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:22:10,00:22:10,0.000,14,10,9,,17,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:22:11,00:22:11,0.000,14,3,10,,14,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:22:13,00:22:13,0.000,14,9,3,,14,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Perdida,,00:22:13,00:22:13,0.000,Volver,,3,,14,Interceptado,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Falta,,00:22:24,00:22:24,0.000,Volver,,8,,13,Hecha,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:23:18,00:23:18,0.000,5,2,4,,9,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:23:21,00:23:21,0.000,2,6,2,,5,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:23:25,00:23:25,0.000,7,3,6,,2,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:23:28,00:23:28,0.000,13,10,6,,7,medio,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:23:55,00:23:55,0.000,16,3,10,,16,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:23:56,00:23:56,0.000,21,9,3,,19,centro aereo,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Perdida,,00:23:57,00:23:57,0.000,Volver,,3,,19,Interceptado,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:24:07,00:24:07,0.000,18,4,8,,18,corto,
2022/07/20,Pases tigre ,Pases tigre ,15:54:37,18:07:03,Pase,,00:24:12,00:24:12,0.000,15,2,4,,18,corto,
