Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Zonas,Categoria,Jugador2,Jugador,Zonas_final,Optional Column
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Pelota parada,,00:18:27,00:18:27,0.000,9,Lateral largo,Rival,4,12,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Perdida,,00:18:28,00:18:28,0.000,9,Interceptado,8,4,12,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Recuperacion,,00:18:29,00:18:29,0.000,12,Duelo,,8,Volver,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Perdida,,00:19:51,00:19:51,0.000,19,Interceptado,9,11,21,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Pelota parada,,00:20:01,00:20:01,0.000,16,Lateral corto,5,3,16,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Perdida,,00:20:07,00:20:07,0.000,16,Interceptado,7,3,21,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Recuperacion,,00:21:43,00:21:43,0.000,10,Duelo,,11,Volver,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Pelota parada,,00:21:50,00:21:50,0.000,10,Lateral corto,3,11,10,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Duelo,,00:22:15,00:22:15,0.000,14,Disputa suelo,,5,Volver,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Perdida,,00:22:16,00:22:16,0.000,14,Duelo,,5,Volver,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Recuperacion,,00:23:03,00:23:03,0.000,12,intercepcion anticipo,,4,Volver,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Perdida,,00:23:10,00:23:10,0.000,11,Error tecnico,,10,Volver,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Recuperacion,,00:23:13,00:23:13,0.000,8,intercepcion anticipo,,6,Volver,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Pelota parada,,00:23:51,00:23:51,0.000,16,Lateral corto,11,3,16,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Duelo,,00:23:53,00:23:53,0.000,16,Gambeta a favor,,11,Volver,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Perdida,,00:23:57,00:23:57,0.000,19,Interceptado,9,3,21,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Recuperacion,,00:24:00,00:24:00,0.000,18,Intercepcion,,4,Volver,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Perdida,,00:24:41,00:24:41,0.000,16,Error tecnico,,9,Volver,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Recuperacion,,00:24:46,00:24:46,0.000,19,Intercepcion,,10,Volver,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Perdida,,00:24:48,00:24:48,0.000,19,Interceptado,7,10,20,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Recuperacion,,00:24:53,00:24:53,0.000,14,intercepcion anticipo,,2,Volver,
2022/07/19,TIGRE_ACCIONES,TIGRE_ACCIONES2,12:11:42,14:24:07,Pelota parada,,00:25:26,00:25:26,0.000,15,Lateral largo,5,4,15,
