Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Dificultad,Zonas_final,Jugador2,Jugador,Calificacion,Zonas,Categoria,Optional Column
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:01:33,00:01:33,0.000,,21,11,5,,11,largo,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:01:33,00:01:33,0.000,,Volver,,5,,11,Atajada,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Arquero,,00:01:49,00:01:49,0.000,Facil,Volver,,1,,16,Salvada/Atajada,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:01:57,00:01:57,0.000,,5,2,1,,3,S arquero mano,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:02:03,00:02:03,0.000,,2,6,2,,5,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:02:07,00:02:07,0.000,,4,1,6,,2,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:02:13,00:02:13,0.000,,9,2,1,,4,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:02:18,00:02:18,0.000,,17,9,2,,12,medio,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:02:19,00:02:19,0.000,,Volver,,2,,12,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:02:26,00:02:26,0.000,,24,4,11,,18,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:02:28,00:02:28,0.000,,21,9,4,,24,corto,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Remate cabeza,,00:02:28,00:02:28,0.000,,22,Rival,9,,21,Facil,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Perdida,,00:02:29,00:02:29,0.000,,Volver,,9,,21,Interceptado,
2022/07/24,pases barracas central ,pases barracas central ,13:43:45,15:43:30,Pase,,00:03:07,00:03:07,0.000,,5,2,1,,3,S arquero pie,
