Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.final,Jugador.2,Jugador.1,Calificacion,coord.inicial,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/03,pases aldosivi ,Aldosivi,15:51:19,18:00:37,pase,,00:12:32,00:12:32,0.0,"39,116",2,1.0,,"17,63",s arquero pie,,752.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,17.33930944882565,38.80039602508281,62.66629122598988,115.81719259630387
2022/07/03,pases aldosivi ,Aldosivi,15:51:19,18:00:37,pase,,00:12:39,00:12:39,0.0,"110,17",3,2.0,,"62,147",largo,,759.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,61.655288382774536,109.7241595390912,146.5790616671644,16.53667291132191
2022/07/03,pases aldosivi ,Aldosivi,15:51:19,18:00:37,pase,,00:13:14,00:13:14,0.0,"50,64",2,5.0,,"105,38",corto,,794.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,104.85344370493796,50.20819601066583,38.38152223429334,63.858210515589704
2022/07/03,pases aldosivi ,Aldosivi,15:51:19,18:00:37,pase,,00:13:17,00:13:17,0.0,"66,149",4,2.0,,"56,69",corto,,797.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,55.994321180781185,65.97130709993615,68.96361249851101,148.99748561478455
2022/07/03,pases aldosivi ,Aldosivi,15:51:19,18:00:37,perdida,,00:13:17,00:13:17,0.0,,,2.0,,"52,71",robo,,797.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,51.69796462371194,,70.53208213295953,
2022/07/03,pases aldosivi ,Aldosivi,15:51:19,18:00:37,pase,,00:13:45,00:13:45,0.0,"245,135",10,9.0,,"209,127",corto,,825.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,208.59815281701347,245.10127627729963,127.12605417679114,134.51033463729715
2022/07/03,pases aldosivi ,Aldosivi,15:51:19,18:00:37,remate pie,,00:13:48,00:13:48,0.0,"269,95",Rival,10.0,,"247,137",corta distancia,,828.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,246.81962019045338,268.9349764985911,137.03661405088133,94.56329044498979
2022/07/03,pases aldosivi ,Aldosivi,15:51:19,18:00:37,perdida,,00:13:49,00:13:49,0.0,,,10.0,,"233,139",interceptado,,829.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,233.0942507787245,,138.7077670709176,
2022/07/03,pases aldosivi ,Aldosivi,15:51:19,18:00:37,remate pie,,00:14:21,00:14:21,0.0,"248,82",Rival,10.0,,"205,79",media distancia,,861.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,204.7762674873679,248.43658649796362,79.38340054057358,81.53201962272023
2022/07/03,pases aldosivi ,Aldosivi,15:51:19,18:00:37,perdida,,00:14:21,00:14:21,0.0,,,10.0,,"193,93",balon afuera fondo,,861.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,193.0241636256017,,93.18864438067051,
