Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.inicial,Subevento,Jugador.2,Jugador.1,coord.final,Dificultad,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:15:56,00:15:56,0.0,"92,24",corto,6,11.0,"59,75",,,956.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,92.11694341175313,58.79766951031923,24.35300025370134,75.00818307730712
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:15:59,00:15:59,0.0,"71,75",largo,9,6.0,"214,89",,,959.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,71.4323113160283,213.5591321412417,74.64207148173192,89.27987311704806
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,perdida,,00:16:01,00:16:01,0.0,"74,84",interceptado,,6.0,,,,961.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,73.63030906747787,,84.26193237144894,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:16:45,00:16:45,0.0,"32,135",corto,9,8.0,"76,155",,,1005.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,32.29677683726554,76.04656746860027,134.87511713815877,155.22710996161197
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:16:47,00:16:47,0.0,"45,156",corto,10,9.0,"53,82",,,1007.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,45.21824082976941,52.82847504376978,156.22392697529344,81.50860722659351
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,falta,,00:16:50,00:16:50,0.0,"46,67",recibida,,10.0,,,,1010.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,46.43503442688785,,67.2380160614701,
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:17:00,00:17:00,0.0,"51,77",medio,3,6.0,"103,20",,,1020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,50.99782706863172,103.33637850195417,76.60390324506481,20.269426238071198
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:17:04,00:17:04,0.0,"150,31",inteligente,11,3.0,"245,1",,,1024.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,149.81011145610293,245.06741406104936,31.110019696625546,0.9479343028190073
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,pase,,00:17:07,00:17:07,0.0,"235,2",inteligente,10,11.0,"239,79",,,1027.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,234.6592443929042,239.06213631967722,2.2938072101610416,78.91386544427661
2022/07/09,pases,Sarmiento,19:36:18,21:51:08,remate pie,,00:17:08,00:17:08,0.0,"233,76",corta distancia,Rival,10.0,"247,81",,,1028.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,233.00111707462307,246.77277600592845,75.72225600130369,81.47132293552099
