Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.final,Jugador.2,Jugador.1,Calificacion,coord.inicial,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:16:35,00:16:35,0.0,"30,56",6,1.0,,"6,75",s arquero pie,,995.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,6.118969894975901,30.44063837011736,74.77891383629026,56.48137234241535
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:16:42,00:16:42,0.0,"66,133",2,6.0,,"79,35",medio,,1002.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,79.33941764268329,66.16612300208806,34.9652856351158,132.74994353469108
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:16:47,00:16:47,0.0,"42,66",1,2.0,,"76,137",corto,,1007.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,76.31309948934796,42.497743177934616,136.84094171541471,66.15123052109762
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:16:50,00:16:50,0.0,"68,3",6,1.0,,"19,82",corto,,1010.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,19.200292326681915,68.29352724090151,82.22167771113494,2.930159890534089
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:16:55,00:16:55,0.0,"58,77",1,6.0,,"68,24",corto,,1015.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,67.55332291482299,58.10710861243453,23.86860427105585,77.2526423564531
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:16:57,00:16:57,0.0,"81,133",2,1.0,,"83,93",corto,,1017.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,82.89098144626102,80.91798129740809,92.80851905554427,133.19176384448053
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:17:03,00:17:03,0.0,"201,75",11,2.0,,"74,141",largo,,1023.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,74.137837186902,200.90775199781098,141.33638729105988,74.55084369466972
2022/07/06,independiente,Independiente,17:20:45,19:32:44,arquero,,00:18:12,00:18:12,0.0,,,1.0,,"9,86",rebote/despeje,,1092.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8.515544481429522,,85.99817115141852,
2022/07/06,independiente,Independiente,17:20:45,19:32:44,arquero,,00:18:45,00:18:45,0.0,,,1.0,Bueno,"8,72",salvada/atajada,,1125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,8.330833725822501,,72.34107885254872,
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:18:55,00:18:55,0.0,"64,41",6,1.0,,"7,72",s arquero mano,,1135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,6.93202605495981,63.60884756607847,71.83193746066273,40.832700775843236
2022/07/06,independiente,Independiente,17:20:45,19:32:44,pase,,00:18:59,00:18:59,0.0,"69,4",3,6.0,,"58,20",corto,,1139.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,58.057569416514234,69.04477543325162,19.798286867826153,4.345320461871545
