Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.final,Jugador.2,Jugador.1,Calificacion,coord.inicial,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,pase,,00:04:23,00:04:23,0.0,"79,123",4,8.0,,"63,125",corto,,263.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,62.65838080307239,78.9166925716666,125.39211642005644,123.37233608177021
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,perdida,,00:04:28,00:04:28,0.0,,,4.0,,"125,151",balon afuera lateral,,268.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,124.96834321481816,,151.24837289707432,
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,pase,,00:05:51,00:05:51,0.0,"151,4",10,1.0,,"15,67",s arquero pie,,351.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.0,14.746872776663952,151.06839643979004,66.77834211284855,4.068515108500726
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,perdida,,00:05:52,00:05:52,0.0,,,1.0,,"20,99",interceptado,,352.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20.206643296344602,,99.22330529950628,
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,pase,,00:08:25,00:08:25,0.0,"26,106",2,1.0,,"9,69",s arquero pie,,505.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,8.795250413890116,26.4008200064006,68.60445044927316,105.6808182793991
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,pase,,00:08:35,00:08:35,0.0,"154,123",8,2.0,,"23,121",medio,,515.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,22.744965921939674,154.42282091108456,121.0050215040913,123.14507486769286
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,falta,,00:09:45,00:09:45,0.0,,,9.0,,"179,8",recibida,,585.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,178.540140013143,,8.131568623487187,
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,perdida,,00:10:51,00:10:51,0.0,,Rival,2.0,,"246,90",balon afuera fondo,,651.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,245.72056054770704,,89.94445785998779,
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,remate cabeza,,00:10:43,00:10:43,0.0,"272,96",Rival,2.0,,"246,81",dificil,,643.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,246.30621911047774,272.0,81.36039334171076,95.98682956007907
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,falta,,00:11:30,00:11:30,0.0,,,6.0,,"77,151",recibida,,690.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,76.89505999354199,,150.66473891264104,
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,pase,,00:11:53,00:11:53,0.0,"66,8",6,2.0,,"50,97",corto,,713.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,50.338550293159216,66.48212819213477,96.6879281411671,7.908946440641474
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,pase,,00:11:58,00:11:58,0.0,"55,94",2,6.0,,"58,33",corto,,718.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,57.8539097513907,54.71791100993161,33.18203301928155,94.10373214416722
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,pase,,00:12:01,00:12:01,0.0,"57,137",4,2.0,,"81,94",corto,,721.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,81.22726127231104,56.893222751415344,93.70305684924017,137.1794295432323
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,perdida,,00:12:03,00:12:03,0.0,,,2.0,,"50,98",balon afuera lateral,,723.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50.44185169714132,,97.64839916400544,
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,pase,,00:13:50,00:13:50,0.0,"92,64",6,2.0,,"95,23",corto,,830.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,94.81840873413807,92.0765636624799,23.011436735367027,64.05310752840096
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,pase,,00:13:54,00:13:54,0.0,"95,91",2,6.0,,"103,99",corto,,834.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,102.51152796905218,95.4758789539781,98.51819095585525,91.39400782696318
2022/07/11,Pases Arsenal ,Arsenal,21:22:05,23:24:23,pase,,00:13:58,00:13:58,0.0,"222,41",10,2.0,,"121,84",medio,,838.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,121.4711792954574,222.28588017488,84.30679632488543,40.509993671797
