Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.inicial,Subevento,Jugador.2,Jugador.1,coord.final,Dificultad,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:09:51,00:09:51,0.0,"269,162",corto,5,3.0,"145,135",,,591.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,269.0714596840281,144.50098798859787,162.0,135.0363384280121
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,remate pie,,00:09:56,00:09:56,0.0,"171,154",media distancia,Rival,5.0,"253,81",,,596.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,171.12744710174456,253.06860759266473,153.83261017427668,81.20462989156614
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,perdida,,00:09:56,00:09:56,0.0,"172,154",balon afuera fondo,,5.0,,,,596.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,172.39422425939642,,153.7747666368199,
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,remate pie,,00:10:26,00:10:26,0.0,"242,118",corta distancia,Rival,4.0,"263,70",,,626.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,242.46268782670123,263.0995967237287,118.20031022588924,69.74637944813935
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,perdida,,00:10:26,00:10:26,0.0,"261,110",atajada,,4.0,,,,626.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,260.5334885987281,,110.38054970734879,
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,remate pie,,00:11:05,00:11:05,0.0,"211,137",corta distancia,Rival,4.0,"263,76",,,665.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,211.24246454950486,262.96372095263155,137.00142347735982,75.78631080568813
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,perdida,,00:11:07,00:11:07,0.0,"194,126",atajada,,4.0,,,,667.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,194.39581258917443,,125.61774877214958,
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,pase,,00:11:44,00:11:44,0.0,"175,10",corto,5,10.0,"156,16",,,704.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,175.1371103066864,155.93967787460886,10.451401650498399,16.47395511223389
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,remate pie,,00:11:49,00:11:49,0.0,"217,16",corta distancia,Rival,5.0,"258,83",,,709.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,216.78107612949032,258.0364750994924,15.95257027981596,82.64320696788477
2022/07/14,central cordoba ,Central Cordoba,11:05:27,13:15:32,perdida,,00:11:50,00:11:50,0.0,"220,17",balon afuera fondo,,5.0,,,,710.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,219.86113270202407,,16.548433601906677,
