Session.Start.Date,partido,tiempo,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.inicial,Subevento,Jugador.2,Jugador.1,coord.final,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/19,Tigre,TIGRE_ACCIONES2,12:11:42,14:24:07,pelota parada,,00:18:27,00:18:27,0.0,"49,125",lateral largo,Rival,4.0,"113,126",,1107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,48.84177490929726,113.18563438086143,125.3926326444006,125.99894948428681
2022/07/19,Tigre,TIGRE_ACCIONES2,12:11:42,14:24:07,perdida,,00:18:28,00:18:28,0.0,"78,148",interceptado,8,4.0,"90,129",,1108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,78.42496982196049,90.29320522127843,147.99460617046734,128.71463410324176
2022/07/19,Tigre,TIGRE_ACCIONES2,12:11:42,14:24:07,recuperacion,,00:18:29,00:18:29,0.0,"90,155",duelo,,8.0,,,1109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,90.28789947031511,,155.46400627867376,
2022/07/19,Tigre,TIGRE_ACCIONES2,12:11:42,14:24:07,perdida,,00:19:51,00:19:51,0.0,"267,35",interceptado,9,11.0,"243,82",,1191.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,267.3852715154608,242.51733511863588,35.423862755992964,82.02897521245742
2022/07/19,Tigre,TIGRE_ACCIONES2,12:11:42,14:24:07,pelota parada,,00:20:01,00:20:01,0.0,"192,18",lateral corto,5,3.0,"189,23",,1201.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,192.06658512095277,189.4278838516815,18.381915889880112,22.98737954578333
2022/07/19,Tigre,TIGRE_ACCIONES2,12:11:42,14:24:07,perdida,,00:20:07,00:20:07,0.0,"197,36",interceptado,7,3.0,"255,89",,1207.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,196.86731416423834,254.96170846861634,35.79244805578213,89.20607693374916
2022/07/19,Tigre,TIGRE_ACCIONES2,12:11:42,14:24:07,recuperacion,,00:21:43,00:21:43,0.0,"98,36",duelo,,11.0,,,1303.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,97.75794723255594,,36.1638466590372,
2022/07/19,Tigre,TIGRE_ACCIONES2,12:11:42,14:24:07,pelota parada,,00:21:50,00:21:50,0.0,"92,30",lateral corto,3,11.0,"115,18",,1310.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,91.88252893974732,115.23965606611512,29.694121177369254,17.847449506412655
2022/07/19,Tigre,TIGRE_ACCIONES2,12:11:42,14:24:07,duelo,,00:22:15,00:22:15,0.0,"179,75",disputa suelo,,5.0,,,1335.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,179.27052849615603,,74.99335326524627,
2022/07/19,Tigre,TIGRE_ACCIONES2,12:11:42,14:24:07,perdida,,00:22:16,00:22:16,0.0,"168,63",duelo,,5.0,,,1336.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,168.2721455232408,,62.590941084756714,
