Session.Start.Date,partido,tiempo,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.inicial,Subevento,Jugador.2,Jugador.1,coord.final,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,perdida,,00:02:18,00:02:18,0.0,"96,157",intercepcion aereo,9,2.0,"208,79",,138.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,95.58809018350212,208.343253131981,157.21707721303773,78.78898672570985
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,recuperacion,,00:02:21,00:02:21,0.0,"212,97",intercepcion aereo,,9.0,,,141.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,211.7115664555182,,97.0238032366886,
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,perdida,,00:02:35,00:02:35,0.0,"222,3",balon afuera fondo,,3.0,,,155.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,222.1310316855715,,3.065143595497549,
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,recuperacion,,00:02:58,00:02:58,0.0,"19,32",duelo,,3.0,,,178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18.680254202214,,32.11282180717862,
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,perdida,,00:03:18,00:03:18,0.0,"84,158",intercepcion aereo,9,2.0,"222,126",,198.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,83.85254084316576,221.58563881165094,158.39598694189834,125.93722583033366
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,recuperacion,,00:03:19,00:03:19,0.0,"156,150",intercepcion anticipo,,8.0,,,199.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,156.4414882546258,,149.676198061892,
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,perdida,,00:03:22,00:03:22,0.0,"144,153",duelo,,9.0,,,202.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,144.43232689129286,,153.34152476788816,
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,duelo,,00:03:35,00:03:35,0.0,"120,152",disputa suelo,,4.0,,,215.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,120.13044772009812,,152.2509542069218,
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,recuperacion,,00:03:35,00:03:35,0.0,"106,125",duelo,,4.0,,,215.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,106.27866418164933,,124.65115496014894,
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,pelota parada,,00:03:56,00:03:56,0.0,"257,156",lateral largo,Rival,4.0,"252,104",,236.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,256.8245270272703,251.98661626269265,155.94086917039982,104.17013556848335
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,perdida,,00:03:57,00:03:57,0.0,"266,162",intercepcion aereo,11,4.0,"239,118",,237.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,265.5168196278466,238.94963190552113,162.0,118.01554332451673
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,recuperacion,,00:04:22,00:04:22,0.0,"112,144",intercepcion anticipo,,5.0,,,262.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,112.07929139145877,,144.01406937211325,
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,duelo,,00:04:26,00:04:26,0.0,"179,63",gambeta a favor,,11.0,,,266.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,179.3418838965964,,62.94617163944308,
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,duelo,,00:04:39,00:04:39,0.0,"267,128",disputa suelo,,11.0,,,279.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,266.7689118358977,,128.11637505675583,
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,perdida,,00:04:39,00:04:39,0.0,"231,133",duelo,,11.0,,,279.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,230.92243087876074,,132.76117306678162,
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,pelota parada,,00:05:43,00:05:43,0.0,"121,95",tiro libre,6,2.0,"98,94",,343.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,120.78485245492948,98.16669680334151,94.97127166336564,93.68344020831026
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,perdida,,00:05:52,00:05:52,0.0,"19,100",intercepcion aereo,11,1.0,"122,89",,352.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,19.38786728760127,121.97460268477853,99.81164838726569,88.96736015974886
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,recuperacion,,00:05:57,00:05:57,0.0,"56,9",intercepcion anticipo,,3.0,,,357.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,56.1477606079179,,9.044315411604924,
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,perdida,,00:06:07,00:06:07,0.0,"237,87",error tecnico,,9.0,,,367.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,237.2387001552912,,86.88797566228723,
2022/07/23,Barracas,BARRACAS_ACCIONES2,11:24:18,13:24:03,duelo,,00:06:42,00:06:42,0.0,"77,9",aereo,,6.0,,,402.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,76.88647318560692,,9.089242801798799,
