Session.Start.Date,tiempo,partido,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),Dificultad,coord.final,Jugador.2,Jugador.1,Calificacion,coord.inicial,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Incompleto,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Error-tactico,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:01:33,00:01:33,0.0,,"230,66",11,5.0,,"124,65",largo,,93.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,123.75763916548956,229.75241457648423,64.63592377977466,65.5141919677156
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,perdida,,00:01:33,00:01:33,0.0,,,,5.0,,"115,78",atajada,,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,115.15826517798102,,78.01254814816542,
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,arquero,,00:01:49,00:01:49,0.0,Facil,,,1.0,,"216,31",salvada/atajada,,109.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,216.36281035625447,,30.7475210368473,
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:01:57,00:01:57,0.0,,"8,136",2,1.0,,"16,99",s arquero mano,,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,16.06710015262017,7.959203000062484,98.95342921802921,136.05752364468492
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:02:03,00:02:03,0.0,,"8,27",6,2.0,,"23,124",corto,,123.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,22.62198127781492,8.420868395602191,124.10316081481145,26.74042845479762
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:02:07,00:02:07,0.0,,"28,99",1,6.0,,"21,29",corto,,127.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,20.562757461417874,27.619406331985797,29.360996463342566,99.12405404995104
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:02:13,00:02:13,0.0,,"73,150",2,1.0,,"45,75",corto,,133.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,45.25891134288249,72.50151552492872,74.91973274812473,149.72350005543979
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:02:18,00:02:18,0.0,,"217,67",9,2.0,,"88,141",medio,,138.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,88.25659112256605,216.70735784000934,141.04070194218454,66.76024789679735
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,perdida,,00:02:19,00:02:19,0.0,,,,2.0,,"94,125",interceptado,,139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,93.53753358374355,,124.81951302700242,
2022/07/24,pases barracas central ,Barracas,13:43:45,15:43:30,pase,,00:02:26,00:02:26,0.0,,"249,139",4,11.0,,"219,138",corto,,146.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,219.02514475591133,248.5238809591072,137.60052920046152,138.95143425231828
