Session.Start.Date,partido,tiempo,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.inicial,Subevento,Jugador.2,Jugador.1,coord.final,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Interceptado,pase-Fuera,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta-favor,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Situacion-rival,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,perdida,,00:24:05,00:24:05,0.0,"49,5",balon afuera lateral,,3.0,,,1445.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,49.295862528381065,,5.407594203049147,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,perdida,,00:24:25,00:24:25,0.0,"179,64",duelo,,11.0,,,1465.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,178.95101716742988,,64.43791822143683,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,recuperacion,,00:24:36,00:24:36,0.0,"102,5",duelo,,8.0,,,1476.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,101.81057700074783,,5.0664154789602875,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,perdida,,00:24:50,00:24:50,0.0,"206,8",interceptado,11.0,9.0,"215,27",,1490.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,205.84151388981604,214.79441752136825,8.485151627409133,27.47875269266628
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,duelo,,00:24:22,00:24:22,0.0,"162,38",disputa suelo,,11.0,,,1462.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,161.98719101525046,,38.15594478675153,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,duelo,,00:24:35,00:24:35,0.0,"124,13",disputa suelo,,8.0,,,1475.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,124.49083097187733,,13.262271199163276,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,duelo,,00:25:06,00:25:06,0.0,"88,40",disputa suelo,,6.0,,,1506.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,87.59312026934084,,40.365968835401944,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,recuperacion,,00:25:07,00:25:07,0.0,"49,12",duelo,,6.0,,,1507.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,49.17565695606265,,11.57991188227686,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,duelo,,00:25:43,00:25:43,0.0,"161,4",disputa suelo,,9.0,,,1543.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,160.87675681519102,,4.359695555144967,
2022/04/20,TIGREPPDP,TIGREETIQUETADO1,15:41:13,18:05:36,perdida,,00:25:54,00:25:54,0.0,"266,149",interceptado,11.0,7.0,"238,71",,1554.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,265.63483247067813,238.2846220928578,149.112922435722,70.93139022553098
