Session.Start.Date,partido,tiempo,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.inicial,Subevento,Jugador.2,Jugador.1,coord.final,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Interceptado,pase-Fuera,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta-favor,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Situacion-rival,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/05/02,Aldosivi,ALDOSIVI_COMPLETO,15:22:33,17:43:53,perdida,,00:22:43,00:22:43,0.0,"85,71",error tecnico,9.0,2.0,"186,73",,1363.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17.0,84.81652149683873,185.7705355797845,70.53895201009848,72.71617225746317
2022/05/02,Aldosivi,ALDOSIVI_COMPLETO,15:22:33,17:43:53,duelo,,00:23:10,00:23:10,0.0,"142,13",disputa suelo,,7.0,,,1390.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,142.25663452934938,,13.409489991480452,
2022/05/02,Aldosivi,ALDOSIVI_COMPLETO,15:22:33,17:43:53,recuperacion,,00:23:11,00:23:11,0.0,"145,28",robo,,7.0,,,1391.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,144.93525677614517,,28.140079920463815,
2022/05/02,Aldosivi,ALDOSIVI_COMPLETO,15:22:33,17:43:53,pelota parada,,00:24:43,00:24:43,0.0,"193,21",lateral largo,9.0,3.0,"270,9",,1483.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,193.4434494552227,270.418736965728,21.426488522835527,8.602968267735932
2022/05/02,Aldosivi,ALDOSIVI_COMPLETO,15:22:33,17:43:53,recuperacion,,00:25:19,00:25:19,0.0,"98,83",encontrada,,9.0,,,1519.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,97.90567133328423,,83.47294916951537,
2022/05/02,Aldosivi,ALDOSIVI_COMPLETO,15:22:33,17:43:53,duelo,,00:25:29,00:25:29,0.0,"234,21",disputa suelo,,9.0,,,1529.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,233.80296961013966,,21.29533905640644,
2022/05/02,Aldosivi,ALDOSIVI_COMPLETO,15:22:33,17:43:53,perdida,,00:25:30,00:25:30,0.0,"270,37",duelo,,9.0,,,1530.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,269.616034522795,,37.361188037209104,
2022/05/02,Aldosivi,ALDOSIVI_COMPLETO,15:22:33,17:43:53,recuperacion,,00:25:35,00:25:35,0.0,"199,61",encontrada,,10.0,,,1535.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,198.7353007627346,,60.84419804220228,
2022/05/02,Aldosivi,ALDOSIVI_COMPLETO,15:22:33,17:43:53,perdida,,00:26:50,00:26:50,0.0,"83,153",interceptado,9.0,4.0,"216,145",,1610.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,82.84112126886319,216.27393549233437,152.83574241248405,144.79947934957116
2022/05/02,Aldosivi,ALDOSIVI_COMPLETO,15:22:33,17:43:53,duelo,,00:27:24,00:27:24,0.0,"32,142",aereo,,4.0,,,1644.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31.703329219796153,,141.66852795128494,
