Session.Start.Date,partido,tiempo,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),coord.inicial,Subevento,Jugador.2,Jugador.1,coord.final,Calificaciondelevento,Dificultad,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Interceptado,pase-Fuera,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta-favor,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Situacion-rival,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/04/05,Velez,VELEZ RESERVA,20:18:22,22:53:32,perdida,,00:19:52,00:19:58,6.0,"85,7",interceptado,Rival,1.0,"84,28",,,,1192.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,84.90253290998504,83.77894038124639,7.439406632895466,27.544219319720543
2022/04/05,Velez,VELEZ RESERVA,20:18:22,22:53:32,pase,,00:19:45,00:19:45,0.0,"119,91",corto,5,9.0,"103,95",,,,1185.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,119.23546807408607,103.11383726111886,91.09503829364816,95.45942804158175
2022/04/05,Velez,VELEZ RESERVA,20:18:22,22:53:32,pase,,00:19:48,00:19:48,0.0,"118,85",medio,2,5.0,"71,98",,,,1188.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,118.16308266387355,70.83746820697107,85.44297530136123,98.12603708393304
2022/04/05,Velez,VELEZ RESERVA,20:18:22,22:53:32,pase,,00:19:51,00:19:51,0.0,"63,80",medio,1,2.0,"29,83",,,,1191.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,62.72680868201609,28.96417780815294,79.80772213025075,82.9417627497987
2022/04/05,Velez,VELEZ RESERVA,20:18:22,22:53:32,recuperacion,,00:20:41,00:20:41,0.0,"20,31",intercepcion,,2.0,,,,,1241.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19.936075306873377,,31.117878875013066,
2022/04/05,Velez,VELEZ RESERVA,20:18:22,22:53:32,despeje,,00:20:52,00:20:52,0.0,"6,45",despeje,Rival,2.0,"88,36",,,,1252.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0,6.491866619008379,87.97481735893211,44.54858703848258,36.12343341794731
2022/04/05,Velez,VELEZ RESERVA,20:18:22,22:53:32,perdida,,00:20:53,00:20:53,0.0,"12,47",balon afuera lateral,Rival,2.0,"85,10",,,,1253.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,12.218588112033014,84.51001071186343,46.92093828827727,9.60257729073706
2022/04/05,Velez,VELEZ RESERVA,20:18:22,22:53:32,recuperacion,,00:21:01,00:21:01,0.0,"35,82",encontrada,,2.0,,,,,1261.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,35.42412732732345,,81.71827408396064,
2022/04/05,Velez,VELEZ RESERVA,20:18:22,22:53:32,despeje,,00:21:04,00:21:04,0.0,"35,81",despeje,Rival,2.0,"166,160",,,,1264.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,35.08460280079784,166.11954905300848,80.67189565500695,160.16628528095129
2022/04/05,Velez,VELEZ RESERVA,20:18:22,22:53:32,perdida,,00:21:07,00:21:07,0.0,"22,70",interceptado,Rival,2.0,"148,141",,,,1267.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,21.583989540159443,148.4389020406671,70.20281906917818,141.18987172590124
