Session.Start.Date,partido,tiempo,Session.Start,Session.End,Evento,Tag.Notes,Tag.Start,Tag.End,Tag.Duration.(secs),Calificaciondelevento,coord.final,Jugador.2,Jugador.1,coord.inicial,Subevento,Optional.Column,segundos,remate-Gol,remate-Fuera,remate-Al-arco,remate-Interceptado,remate-Cabeza,pase-Asistencia,pase-Completado,pase-Interceptado,pase-Fuera,pase-Inteligente,centro-Asistencia,centro-Completado,centro-Interceptado,centro-Bloqueado,centro-Fuera,duelo-Aereo-Perdido,duelo-Aereo-Ganado,duelo-Disputa-suelo-Perdida,duelo-Disputa-suelo-Ganada,duelo-Gambeta-contra-Ganada,duelo-Gambeta-contra-Perdida,duelo-Gambeta-favor-Perdida,duelo-Gambeta-favor-Ganada,duelo-Pivote-Perdido,duelo-Pivote-Ganado,falta-Cometida,falta-Recibida,falta-Penal-cometido,falta-Penal-recibido,falta-Offside,falta-Tarjeta-amarilla,falta-Tarjeta-roja,recuperacion-Robo,recuperacion-Encontrada,recuperacion-Intercepcion-suelo,recuperacion-Intercepcion-aereo,recuperacion-Intercepcion-anticipo,recuperacion-Disputa-suelo,parado-Lateral-interceptado,parado-Lateral-completado,parado-Corner-interceptado,parado-Corner-completado,parado-Tiro-libre-incompleto,parado-Tiro-libre-completado,perdida-Gambeta-favor,perdida-Robo,perdida-Intercepcion,perdida-Error-tecnico,perdida-Balon-fuera,perdida-Situacion-rival,perdida-Atajada,arquero-Gol-rival,arquero-Gol-rival-atajable,arquero-Atajada,arquero-Intercepcion-aerea,arquero-Intercepcion,arquero-Anticipo,arquero-Saque-mano,arquero-Saque-pie,arquero-Saque-meta,coord.final.num,coord.inicial.x,coord.final.x,coord.inicial.y,coord.final.y
2022/03/23,Boca,completo ,10:52:58,13:12:50,pase,,00:19:50,00:19:56,6.0,,"115,41",3,5.0,"96,18",corto,,1190.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,95.92676271898773,114.86889254069604,17.914762615943573,41.38900000728094
2022/03/23,Boca,completo ,10:52:58,13:12:50,perdida,,00:19:54,00:20:00,6.0,,"196,97",9,3.0,"106,2",interceptado,,1194.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,105.76983457374374,196.35143200556791,2.1536652436375086,97.44271229454273
2022/03/23,Boca,completo ,10:52:58,13:12:50,recuperacion,,00:19:56,00:20:02,6.0,,"202,10",Rival,3.0,"159,17",intercepcion,,1196.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,159.37651429721143,202.15493283676656,17.36898858072053,10.426460806892972
2022/03/23,Boca,completo ,10:52:58,13:12:50,pase,,00:19:57,00:20:03,6.0,,"151,40",11,3.0,"160,38",corto,,1197.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,160.44716783142343,150.90708511653528,38.27266745307605,40.42576779080348
2022/03/23,Boca,completo ,10:52:58,13:12:50,pase,,00:20:02,00:20:08,6.0,,"243,29",9,11.0,"154,19",corto,,1202.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.0,153.64404609890562,242.66007834302084,19.04348605570606,28.57515566676038
2022/03/23,Boca,completo ,10:52:58,13:12:50,perdida,,00:20:04,00:20:10,6.0,,"186,136",Rival,9.0,"235,14",balon afuera lateral,,1204.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,234.52347528478268,185.6495681456186,14.353244344879972,136.1426168973825
2022/03/23,Boca,completo ,10:52:58,13:12:50,recuperacion,,00:20:28,00:20:34,6.0,,"217,83",Rival,5.0,"165,85",intercepcion aereo,,1228.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,164.85673692819648,217.10729792094386,85.32851542985594,82.93252836703212
2022/03/23,Boca,completo ,10:52:58,13:12:50,perdida,,00:20:32,00:20:38,6.0,,"194,100",9,5.0,"172,67",interceptado,,1232.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,172.3048472048571,193.6075652998772,66.95794139250472,99.78152692280719
2022/03/23,Boca,completo ,10:52:58,13:12:50,recuperacion,,00:20:33,00:20:39,6.0,,"203,88",Rival,5.0,"162,83",intercepcion aereo,,1233.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,162.3160050251196,202.60081761302268,83.40369016406368,88.2465798335135
2022/03/23,Boca,completo ,10:52:58,13:12:50,pase,,00:20:36,00:20:42,6.0,,"209,123",8,5.0,"193,128",corto,,1236.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,193.05002989905952,209.18097171105478,128.42398421162545,122.6363657467503
