Partido,Situacion,Evento,Subevento,Tiempo_inicial,Tiempo_final,Jugador,Zonas_Inicial,Zonas_Final
Arsenal,A favor,Pase corto,Ataque combinado,00:01:00,00:01:06,8,5,7
Arsenal,A favor,Pase corto,Ataque combinado,00:01:06,00:01:12,9,7,5
Arsenal,A favor,Pase corto,Ataque combinado,00:01:12,00:01:18,5,5,6
Arsenal,A favor,Pase corto,Ataque combinado,00:01:16,00:01:22,4,6,5
Arsenal,A favor,Pase corto,Ataque combinado,00:01:20,00:01:26,5,5,8
Arsenal,A favor,Pase corto,Ataque combinado,00:01:26,00:01:32,9,8,8
Arsenal,A favor,Remate atajado,Ataque combinado,00:01:30,00:01:36,8,8,8
Arsenal,A favor,Pase largo,Ataque Directo,00:07:45,00:07:51,11,5,9
Arsenal,A favor,Centro,Ataque Directo,00:07:50,00:07:56,7,9,8
Arsenal,A favor,Remate atajado,Ataque Directo,00:07:58,00:08:04,9,8,8
Arsenal,A favor,Corner,Pelota Parada,00:22:23,00:22:29,3,7,Volver
Arsenal,A favor,Centro,Pelota Parada,00:22:34,00:22:40,3,7,8
Arsenal,A favor,Despeje,Pelota Parada,00:22:37,00:22:43,Rival,8,8
Arsenal,A favor,Pase corto,Pelota Parada,00:22:40,00:22:46,7,8,9
Arsenal,A favor,Centro,Pelota Parada,00:22:44,00:22:50,2,9,8
Arsenal,A favor,Remate atajado,Pelota Parada,00:22:47,00:22:53,4,8,8
Arsenal,A favor,Pase corto,Ataque combinado,00:26:52,00:26:58,10,6,6
Arsenal,A favor,Pase largo,Ataque combinado,00:26:56,00:27:02,4,6,8
Arsenal,A favor,Remate atajado,Ataque combinado,00:27:00,00:27:06,9,8,8
Arsenal,A favor,Recuperacion,Ataque Directo,00:33:29,00:33:35,5,5,9
Arsenal,A favor,Gambeta,Ataque Directo,00:33:36,00:33:42,7,9,Volver
Arsenal,A favor,Pase bloq,Ataque Directo,00:33:41,00:33:50,7,9,8
Arsenal,A favor,Pase largo,Ataque Directo,00:33:49,00:33:55,5,9,8
Arsenal,A favor,Remate pie,Ataque Directo,00:33:52,00:33:58,8,8,8
Arsenal,A favor,Gol,Ataque Directo,00:33:57,00:34:03,8,8,Volver
Arsenal,A favor,Pase corto,Ataque combinado,00:43:14,00:43:20,11,4,5
Arsenal,A favor,Pase corto,Ataque combinado,00:43:18,00:43:24,8,5,5
Arsenal,A favor,Pase corto,Ataque combinado,00:43:22,00:43:28,4,5,8
Arsenal,A favor,Pase corto,Ataque combinado,00:43:26,00:43:32,10,8,8
Arsenal,A favor,Remate atajado,Ataque combinado,00:43:31,00:43:37,4,8,8
Arsenal,A favor,Corner,Pelota Parada,00:10:58,00:11:04,3,7,Volver
Arsenal,A favor,Centro,Pelota Parada,00:11:03,00:11:09,3,7,8
Arsenal,A favor,Remate atajado,Pelota Parada,00:11:08,00:11:14,9,8,8
Arsenal,A favor,Tiro libre,Pelota Parada,00:19:21,00:19:27,11,7,Volver
Arsenal,A favor,Remate atajado,Pelota Parada,00:19:25,00:19:31,11,7,8
Arsenal,A favor,Remate pie,Pelota Parada,00:19:32,00:19:40,4,8,8
Arsenal,A favor,Perdida,Pelota Parada,00:19:39,00:19:45,4,8,Volver
Arsenal,A favor,Tiro libre,Pelota Parada,00:35:53,00:35:59,3,9,Volver
Arsenal,A favor,Remate atajado,Pelota Parada,00:35:57,00:36:03,3,9,8
Arsenal,En contra,Pase largo,Ataque Directo,00:47:01,00:47:07,Rival,4,5
Arsenal,En contra,Gambeta,Ataque Directo,00:47:06,00:47:12,Rival,5,9
Arsenal,En contra,Remate atajado,Ataque Directo,00:47:09,00:47:15,Rival,9,8
Boca,A favor,Tiro libre,Pelota Parada,00:25:21,00:25:27,5,8,Volver
Boca,A favor,Remate bloq,Pelota Parada,00:25:27,00:25:33,5,8,8
Boca,A favor,Remate bloq,Pelota Parada,00:25:32,00:25:38,9,8,8
Boca,A favor,Recuperacion,Transición,00:29:22,00:29:28,11,4,Volver
Boca,A favor,Pase corto,Transición,00:29:28,00:29:37,6,4,5
Boca,A favor,Pase corto,Transición,00:29:34,00:29:40,8,5,7
Boca,A favor,Centro,Transición,00:29:39,00:29:45,11,7,8
Boca,A favor,Despeje,Transición,00:29:44,00:29:50,Rival,8,Volver
Boca,A favor,Recuperacion,Transición,00:29:48,00:29:54,8,8,Volver
Boca,A favor,Pase corto,Transición,00:29:51,00:29:57,8,8,8
Boca,A favor,Remate atajado,Transición,00:29:57,00:30:03,4,8,8
Boca,A favor,Tiro libre,Pelota Parada,00:34:05,00:34:11,8,5,Volver
Boca,A favor,Centro,Pelota Parada,00:34:10,00:34:16,8,5,9
Boca,A favor,Remate Aereo,Pelota Parada,00:34:13,00:34:19,2,9,8
Boca,En contra,Pase bloq,Transición,00:40:23,00:40:29,6,9,5
Boca,En contra,Recuperacion,Transición,00:40:27,00:40:33,Rival,5,Volver
Boca,En contra,Pase corto,Transición,00:40:33,00:40:39,Rival,5,8
Boca,En contra,Pase corto,Transición,00:40:38,00:40:44,Rival,8,8
Boca,En contra,Pase corto,Transición,00:40:42,00:40:48,Rival,8,8
Boca,En contra,Remate pie,Transición,00:40:47,00:40:53,Rival,8,8
Boca,En contra,Gol,Transición,00:40:52,00:40:58,Rival,8,Volver
Boca,A favor,Lateral,Pelota Parada,00:45:48,00:45:54,4,6,9
Boca,A favor,Disputa suelo,Pelota Parada,00:45:54,00:46:00,9,9,Volver
