Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Tipo,Jugador,Categoria,Zonas1,Zonas2,Optional Column
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:01:00,00:01:06,6.000,Ataque combinado,8,Pase corto,5,7,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:01:06,00:01:12,6.000,Ataque combinado,9,Pase corto,7,5,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:01:12,00:01:18,6.000,Ataque combinado,5,Pase corto,5,6,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:01:16,00:01:22,6.000,Ataque combinado,4,Pase corto,6,5,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:01:20,00:01:26,6.000,Ataque combinado,5,Pase corto,5,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:01:26,00:01:32,6.000,Ataque combinado,9,Pase corto,8,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:01:30,00:01:36,6.000,Ataque combinado,8,Remate atajado,8,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:07:45,00:07:51,6.000,Ataque Directo,11,Pase largo,5,9,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:07:50,00:07:56,6.000,Ataque Directo,7,Centro,9,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:07:58,00:08:04,6.000,Ataque Directo,9,Remate atajado,8,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:22:23,00:22:29,6.000,Pelota Parada,3,Corner,7,Volver,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:22:34,00:22:40,6.000,Pelota Parada,3,Centro,7,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:22:37,00:22:43,6.000,Pelota Parada,Rival,Despeje,8,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:22:40,00:22:46,6.000,Pelota Parada,7,Pase corto,8,9,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:22:44,00:22:50,6.000,Pelota Parada,2,Centro,9,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:22:47,00:22:53,6.000,Pelota Parada,4,Remate atajado,8,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:26:52,00:26:58,6.000,Ataque combinado,10,Pase corto,6,6,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:26:56,00:27:02,6.000,Ataque combinado,4,Pase largo,6,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:27:00,00:27:06,6.000,Ataque combinado,9,Remate atajado,8,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:33:29,00:33:35,6.000,Ataque Directo,5,Recuperacion,5,9,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:33:36,00:33:42,6.000,Ataque Directo,7,Gambeta,9,Volver,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:33:41,00:33:50,8.911,Ataque Directo,7,Pase bloq,9,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:33:49,00:33:55,6.000,Ataque Directo,5,Pase largo,9,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:33:52,00:33:58,6.000,Ataque Directo,8,Remate pie,8,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:33:57,00:34:03,6.000,Ataque Directo,8,Gol,8,Volver,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:43:14,00:43:20,6.000,Ataque combinado,11,Pase corto,4,5,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:43:18,00:43:24,6.000,Ataque combinado,8,Pase corto,5,5,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:43:22,00:43:28,6.000,Ataque combinado,4,Pase corto,5,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:43:26,00:43:32,6.000,Ataque combinado,10,Pase corto,8,8,
2022/03/16,Arsenal,Primer Tiempo,08:08:29,08:55:11,A favor,,00:43:31,00:43:37,6.000,Ataque combinado,4,Remate atajado,8,8,
