Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Tipo,Jugador,Categoria,Zonas1,Zonas2,Optional Column
2022/03/16,Arsenal,Segundo Tiempo,09:05:53,09:57:37,A favor,,00:10:58,00:11:04,6.000,Pelota Parada,3,Corner,7,Volver,
2022/03/16,Arsenal,Segundo Tiempo,09:05:53,09:57:37,A favor,,00:11:03,00:11:09,6.000,Pelota Parada,3,Centro,7,8,
2022/03/16,Arsenal,Segundo Tiempo,09:05:53,09:57:37,A favor,,00:11:08,00:11:14,6.000,Pelota Parada,9,Remate atajado,8,8,
2022/03/16,Arsenal,Segundo Tiempo,09:05:53,09:57:37,A favor,,00:19:21,00:19:27,6.000,Pelota Parada,11,Tiro libre,7,Volver,
2022/03/16,Arsenal,Segundo Tiempo,09:05:53,09:57:37,A favor,,00:19:25,00:19:31,6.000,Pelota Parada,11,Remate atajado,7,8,
2022/03/16,Arsenal,Segundo Tiempo,09:05:53,09:57:37,A favor,,00:19:32,00:19:40,8.619,Pelota Parada,4,Remate pie,8,8,
2022/03/16,Arsenal,Segundo Tiempo,09:05:53,09:57:37,A favor,,00:19:39,00:19:45,6.000,Pelota Parada,4,Perdida,8,Volver,
2022/03/16,Arsenal,Segundo Tiempo,09:05:53,09:57:37,A favor,,00:35:53,00:35:59,6.000,Pelota Parada,3,Tiro libre,9,Volver,
2022/03/16,Arsenal,Segundo Tiempo,09:05:53,09:57:37,A favor,,00:35:57,00:36:03,6.000,Pelota Parada,3,Remate atajado,9,8,
2022/03/16,Arsenal,Segundo Tiempo,09:05:53,09:57:37,En contra,,00:47:01,00:47:07,6.000,Ataque Directo,Rival,Pase largo,4,5,
2022/03/16,Arsenal,Segundo Tiempo,09:05:53,09:57:37,En contra,,00:47:06,00:47:12,6.000,Ataque Directo,Rival,Gambeta,5,9,
2022/03/16,Arsenal,Segundo Tiempo,09:05:53,09:57:37,En contra,,00:47:09,00:47:15,6.000,Ataque Directo,Rival,Remate atajado,9,8,
