Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Tipo,Jugador,Categoria,Zonas1,Zonas2,Optional Column
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:25:21,00:25:27,6.000,Pelota Parada,5,Tiro libre,8,Volver,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:25:27,00:25:33,6.000,Pelota Parada,5,Remate bloq,8,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:25:32,00:25:38,6.000,Pelota Parada,9,Remate bloq,8,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:29:22,00:29:28,6.000,Transición,11,Recuperacion,4,Volver,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:29:28,00:29:37,8.868,Transición,6,Pase corto,4,5,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:29:34,00:29:40,6.000,Transición,8,Pase corto,5,7,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:29:39,00:29:45,6.000,Transición,11,Centro,7,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:29:44,00:29:50,6.000,Transición,Rival,Despeje,8,Volver,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:29:48,00:29:54,6.000,Transición,8,Recuperacion,8,Volver,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:29:51,00:29:57,6.000,Transición,8,Pase corto,8,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:29:57,00:30:03,6.000,Transición,4,Remate atajado,8,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:34:05,00:34:11,6.000,Pelota Parada,8,Tiro libre,5,Volver,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:34:10,00:34:16,6.000,Pelota Parada,8,Centro,5,9,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:34:13,00:34:19,6.000,Pelota Parada,2,Remate Aereo,9,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,00:40:23,00:40:29,6.000,Transición,6,Pase bloq,9,5,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,00:40:27,00:40:33,6.000,Transición,Rival,Recuperacion,5,Volver,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,00:40:33,00:40:39,6.000,Transición,Rival,Pase corto,5,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,00:40:38,00:40:44,6.000,Transición,Rival,Pase corto,8,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,00:40:42,00:40:48,6.000,Transición,Rival,Pase corto,8,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,00:40:47,00:40:53,6.000,Transición,Rival,Remate pie,8,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,00:40:52,00:40:58,6.000,Transición,Rival,Gol,8,Volver,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:45:48,00:45:54,6.000,Pelota Parada,4,Lateral,6,9,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:45:54,00:46:00,6.000,Pelota Parada,9,Disputa suelo,9,Volver,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,00:45:58,00:46:04,6.000,Pelota Parada,7,Remate atajado,9,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,01:28:00,01:28:06,6.000,Pelota Parada,6,Pase largo,5,7,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,01:28:05,01:28:11,6.000,Pelota Parada,3,Centro,7,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,01:28:09,01:28:15,6.000,Pelota Parada,9,Remate atajado,8,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,01:36:33,01:36:39,6.000,Transición,Rival,Recuperacion,5,Volver,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,01:36:37,01:36:43,6.000,Transición,Rival,Pase corto,5,5,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,01:36:41,01:36:47,6.000,Transición,Rival,Pase corto,5,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,01:36:47,01:36:53,6.000,Transición,Rival,Remate bloq,8,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,01:40:15,01:40:21,6.000,Pelota Parada,11,Corner,7,Volver,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,01:40:18,01:40:24,6.000,Pelota Parada,11,Centro,7,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,01:40:22,01:40:28,6.000,Pelota Parada,6,Remate Aereo,8,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,01:54:39,01:54:45,6.000,Ataque combinado,Rival,Pase corto,4,5,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,01:54:45,01:54:51,6.000,Ataque combinado,Rival,Pase corto,5,5,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,01:54:48,01:54:54,6.000,Ataque combinado,Rival,Pase largo,5,9,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,01:54:51,01:54:57,6.000,Ataque combinado,Rival,Centro,9,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,01:54:56,01:55:02,6.000,Ataque combinado,Rival,Remate bloq,8,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,02:08:10,02:08:16,6.000,Transición,Rival,Recuperacion,5,Volver,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,02:08:15,02:08:21,6.000,Transición,Rival,Pase corto,5,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,En contra,,02:08:18,02:08:24,6.000,Transición,Rival,Remate atajado,8,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,02:12:45,02:12:51,6.000,Pelota Parada,8,Tiro libre,4,Volver,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,02:12:49,02:12:55,6.000,Pelota Parada,8,Centro,4,8,
2022/03/21,Boca,Completo,09:43:46,12:03:39,A favor,,02:12:56,02:13:02,6.000,Pelota Parada,Suplente 1,Remate Aereo,8,8,
