Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Tipo,Jugador,Categoria,Zonas1,Zonas2,Optional Column
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:07:23,00:07:29,6.000,Pelota Parada,4,Lateral,6,6,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:07:25,00:07:31,6.000,Pelota Parada,11,Disputa aereo,6,6,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:07:27,00:07:33,6.000,Pelota Parada,8,Gambeta,6,9,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:07:37,00:07:44,7.215,Pelota Parada,10,Centro,9,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:07:39,00:07:46,7.484,Pelota Parada,9,Pase corto,8,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:07:44,00:07:50,6.000,Pelota Parada,7,Gambeta,8,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:08:00,00:08:06,6.000,Pelota Parada,7,Penal,8,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:08:17,00:08:23,6.000,Pelota Parada,7,Penal,8,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:09:00,00:09:06,6.000,Pelota Parada,4,Lateral,3,6,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:09:04,00:09:10,6.000,Pelota Parada,9,Disputa aereo,6,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:09:08,00:09:14,6.000,Pelota Parada,9,Pase largo,6,9,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:09:12,00:09:18,6.000,Pelota Parada,11,Centro,9,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:09:15,00:09:21,6.000,Pelota Parada,7,Remate bloq,8,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:09:21,00:09:27,6.000,Pelota Parada,7,Falta,8,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,00:14:08,00:14:14,6.000,Ataque Directo,Rival,Recuperacion,7,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,00:14:13,00:14:23,10.312,Ataque Directo,Rival,Centro,7,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,00:14:21,00:14:27,6.000,Ataque Directo,Rival,Remate pie,8,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,En contra,,00:14:26,00:14:32,6.000,Ataque Directo,Rival,Gol,8,Volver,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:16:42,00:16:48,6.000,Ataque combinado,9,Pase corto,6,5,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:16:47,00:16:53,6.000,Ataque combinado,3,Pase corto,5,7,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:16:50,00:16:56,6.000,Ataque combinado,8,Centro,7,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:16:54,00:17:00,6.000,Ataque combinado,11,Pase corto,9,9,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:16:57,00:17:03,6.000,Ataque combinado,9,Remate atajado,9,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:19:44,00:19:50,6.000,Ataque combinado,2,Pase corto,5,5,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:19:47,00:19:57,9.707,Ataque combinado,8,Pase corto,5,6,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:19:58,00:20:04,6.000,Ataque combinado,4,Centro,6,8,
2022/02/13,Fecha 1,Local vs Independiente,10:30:28,12:34:03,A favor,,00:20:01,00:20:07,6.000,Ataque combinado,9,Remate atajado,8,8,
