Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Tipo,Jugador,Categoria,Zonas1,Zonas2,Optional Column
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,00:26:13,00:26:51,38.000,Pelota Parada,Rival,Lateral,3,3,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,00:26:23,00:26:29,6.000,Pelota Parada,Rival,Disputa suelo,3,3,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,00:26:36,00:26:42,6.000,Pelota Parada,Rival,Gambeta,2,Volver,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,00:26:39,00:26:45,6.000,Pelota Parada,Rival,Remate pie,2,2,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,00:36:09,00:36:20,10.694,Ataque Directo,Rival,Recuperacion,2,Volver,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,00:36:18,00:36:24,6.000,Ataque Directo,Rival,Remate atajado,2,2,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,A favor,,00:39:45,00:40:03,18.000,Pelota Parada,8,Tiro libre,4,Volver,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,A favor,,00:39:50,00:39:56,6.000,Pelota Parada,8,Centro,4,9,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,A favor,,00:39:54,00:40:01,6.379,Pelota Parada,6,Disputa aereo,9,Volver,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,A favor,,00:39:59,00:40:05,6.000,Pelota Parada,2,Penal,8,Volver,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,A favor,,00:40:59,00:41:17,18.000,Pelota Parada,9,Penal,8,Volver,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,A favor,,00:41:06,00:41:12,6.000,Pelota Parada,9,Remate atajado,8,8,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,01:00:41,01:00:59,18.000,Ataque combinado,Rival,Pase corto,5,4,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,01:00:45,01:00:51,6.000,Ataque combinado,Rival,Pase corto,4,1,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,01:00:49,01:00:55,6.000,Ataque combinado,Rival,Remate atajado,1,2,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,A favor,,01:03:08,01:03:24,16.000,Ataque combinado,4,Pase largo,6,9,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,A favor,,01:03:13,01:03:23,9.944,Ataque combinado,11,Centro,9,8,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,A favor,,01:03:21,01:03:27,6.000,Ataque combinado,7,Remate pie,8,8,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,01:28:57,01:29:05,8.000,Pelota Parada,Rival,Tiro libre,7,Volver,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,01:29:01,01:29:07,6.000,Pelota Parada,Rival,Remate atajado,7,8,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,01:48:57,01:49:18,21.000,Pelota Parada,Rival,Lateral,1,4,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,01:49:02,01:49:12,9.885,Pelota Parada,Rival,Disputa suelo,4,Volver,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,01:49:10,01:49:20,10.034,Pelota Parada,Rival,Disputa suelo,8,Volver,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,01:49:17,01:49:23,6.000,Pelota Parada,Rival,Remate pie,8,8,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,01:49:22,01:49:28,6.000,Pelota Parada,Rival,Gol,8,Volver,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,01:53:34,01:53:52,18.000,Ataque combinado,Rival,Pase largo,1,4,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,01:53:39,01:53:45,6.000,Ataque combinado,Rival,Disputa suelo,4,Volver,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,01:53:43,01:53:54,10.732,Ataque combinado,Rival,Centro,7,8,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,01:53:51,01:53:57,6.000,Ataque combinado,Rival,Remate pie,8,8,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,A favor,,01:57:10,01:57:28,18.000,Ataque combinado,2,Recuperacion,5,Volver,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,A favor,,01:57:14,01:57:26,12.393,Ataque combinado,2,Pase corto,5,6,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,A favor,,01:57:24,01:57:30,6.000,Ataque combinado,4,Centro,6,8,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,A favor,,01:57:29,01:57:35,6.000,Ataque combinado,Suplente 1,Penal,8,Volver,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,A favor,,01:58:57,01:59:10,13.000,Pelota Parada,9,Penal,8,Volver,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,A favor,,01:59:03,01:59:09,6.000,Pelota Parada,9,Remate atajado,8,8,
2022/02/27,Fecha 2,Huracan,11:23:39,13:40:32,En contra,,02:05:47,02:06:05,18.000,Ataque combinado,Rival,Pase corto,2,6,
