Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Tipo,Jugador,Categoria,Zonas1,Zonas2,Optional Column
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,00:20:58,00:21:04,6.000,Pelota Parada,11,Tiro libre,4,Volver,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,00:21:03,00:21:09,6.000,Pelota Parada,11,Centro,4,8,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,00:21:07,00:21:13,6.000,Pelota Parada,2,Centro,9,8,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,00:21:13,00:21:19,6.000,Pelota Parada,5,Remate Aereo,8,8,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,00:21:17,00:21:23,6.000,Pelota Parada,5,Gol,8,Volver,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,En contra,,00:29:33,00:29:42,8.885,Ataque Directo,Rival,Pase corto,4,4,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,En contra,,00:29:40,00:29:46,6.000,Ataque Directo,Rival,Pase largo,4,9,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,En contra,,00:29:45,00:29:51,6.000,Ataque Directo,Rival,Remate atajado,9,8,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,00:30:49,00:30:55,6.000,Ataque Directo,6,Despeje,2,5,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,00:30:56,00:31:05,8.506,Ataque Directo,9,Disputa aereo,5,Volver,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,00:31:04,00:31:10,6.000,Ataque Directo,9,Disputa suelo,8,Volver,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,00:31:08,00:31:14,6.000,Ataque Directo,9,Remate atajado,9,8,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,En contra,,00:31:09,00:31:18,8.585,Ataque Directo,Rival,Pase largo,4,8,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,En contra,,00:31:15,00:31:21,6.000,Ataque Directo,Rival,Pase corto,8,8,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,En contra,,00:31:19,00:31:25,6.000,Ataque Directo,Rival,Remate atajado,8,8,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,00:36:08,00:36:14,6.000,Pelota Parada,5,Tiro libre,7,Volver,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,00:36:13,00:36:19,6.000,Pelota Parada,5,Remate bloq,7,8,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,00:50:07,00:50:13,6.000,Ataque Directo,3,Recuperacion,4,Volver,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,00:50:12,00:50:21,8.660,Ataque Directo,3,Pase corto,4,5,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,00:50:19,00:50:25,6.000,Ataque Directo,5,Pase largo,5,8,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,00:50:24,00:50:30,6.000,Ataque Directo,9,Remate Aereo,8,8,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,01:05:12,01:05:18,6.000,Ataque Directo,3,Recuperacion,4,Volver,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,01:05:17,01:05:23,6.000,Ataque Directo,5,Pase corto,4,5,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,A favor,,01:05:21,01:05:27,6.000,Ataque Directo,10,Remate atajado,8,8,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,En contra,,01:33:36,01:33:42,6.000,Pelota Parada,Rival,Tiro libre,7,Volver,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,En contra,,01:33:39,01:33:45,6.000,Pelota Parada,Rival,Remate pie,7,8,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,En contra,,01:33:43,01:33:49,6.000,Pelota Parada,Rival,Gol,8,Volver,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,En contra,,01:38:05,01:38:11,6.000,Pelota Parada,Rival,Corner,9,Volver,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,En contra,,01:38:08,01:38:14,6.000,Pelota Parada,Rival,Pase corto,9,9,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,En contra,,01:38:11,01:38:17,6.000,Pelota Parada,Rival,Centro,9,8,
2022/03/27,Gimnasia,Completo,15:33:47,17:59:07,En contra,,01:38:15,01:38:21,6.000,Pelota Parada,Rival,Remate bloq,8,8,
