Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Tipo,Jugador,Categoria,Zonas1,Zonas2,Optional Column
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:01:03,00:01:09,6.000,Ataque Directo,Rival,Pase largo,5,9,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:01:09,00:01:15,6.000,Ataque Directo,Rival,Pase largo,9,8,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:01:12,00:01:18,6.000,Ataque Directo,Rival,Remate atajado,8,8,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:02:01,00:02:07,6.000,Pelota Parada,Rival,Corner,7,Volver,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:02:08,00:02:19,11.123,Pelota Parada,Rival,Pase largo,7,8,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:02:16,00:02:22,6.000,Pelota Parada,Rival,Remate atajado,8,8,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,A favor,,00:08:27,00:08:33,6.000,Pelota Parada,3,Lateral,7,Volver,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,A favor,,00:08:33,00:08:39,6.000,Pelota Parada,3,Centro,7,8,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,A favor,,00:08:38,00:08:44,6.000,Pelota Parada,11,Remate Aereo,8,8,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:11:08,00:11:14,6.000,Ataque combinado,Rival,Pase corto,5,5,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:11:15,00:11:21,6.000,Ataque combinado,Rival,Pase corto,5,8,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:11:20,00:11:26,6.000,Ataque combinado,Rival,Remate atajado,8,8,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:27:21,00:27:27,6.000,Pelota Parada,Rival,Corner,7,Volver,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:27:27,00:27:35,8.849,Pelota Parada,Rival,Pase corto,7,7,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:27:32,00:27:41,8.857,Pelota Parada,Rival,Centro,7,8,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:27:40,00:27:46,6.000,Pelota Parada,Rival,Remate Aereo,8,8,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:27:44,00:27:50,6.000,Pelota Parada,Rival,Gol,8,Volver,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:35:53,00:35:59,6.000,Ataque combinado,Rival,Pase corto,5,4,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:35:57,00:36:03,6.000,Ataque combinado,Rival,Pase corto,4,5,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:36:02,00:36:13,10.773,Ataque combinado,Rival,Pase corto,5,8,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:36:10,00:36:16,6.000,Ataque combinado,Rival,Pase corto,8,7,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:36:15,00:36:21,6.000,Ataque combinado,Rival,Centro,7,8,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,En contra,,00:36:22,00:36:28,6.000,Ataque combinado,Rival,Remate Aereo,8,8,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,A favor,,00:37:08,00:37:14,6.000,Ataque Directo,5,Recuperacion,5,Volver,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,A favor,,00:37:13,00:37:19,6.000,Ataque Directo,5,Pase largo,5,8,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,A favor,,00:37:18,00:37:24,6.000,Ataque Directo,Suplente 2,Remate pie,8,8,
2022/03/15,Lanus,Segundo Tiempo,08:02:40,08:52:03,A favor,,00:37:22,00:37:28,6.000,Ataque Directo,Suplente 2,Gol,8,Volver,
