Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Tipo,Jugador,Categoria,Zonas1,Zonas2,Optional Column
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:05:50,00:05:56,6.000,Pelota Parada,Rival,Lateral,9,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:05:55,00:06:01,6.000,Pelota Parada,Rival,Disputa suelo,9,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:05:59,00:06:05,6.000,Pelota Parada,Rival,Remate atajado,9,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:08:02,00:08:08,6.000,Ataque Directo,5,Pase largo,5,9,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:08:07,00:08:13,6.000,Ataque Directo,11,Disputa suelo,9,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:08:11,00:08:17,6.000,Ataque Directo,11,Penal,9,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:09:54,00:10:00,6.000,Pelota Parada,7,Penal,8,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:10:01,00:10:07,6.000,Pelota Parada,7,Gol,8,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:19:21,00:19:27,6.000,Pelota Parada,Rival,Corner,7,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:19:27,00:19:33,6.000,Pelota Parada,Rival,Centro,7,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:19:32,00:19:38,6.000,Pelota Parada,Rival,Pase corto,8,9,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:19:36,00:19:45,8.960,Pelota Parada,Rival,Pase corto,9,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:19:42,00:19:48,6.000,Pelota Parada,Rival,Remate bloq,8,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:19:47,00:19:53,6.000,Pelota Parada,Rival,Penal,8,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:20:56,00:21:02,6.000,Pelota Parada,Rival,Penal,8,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:21:01,00:21:07,6.000,Pelota Parada,Rival,Gol,8,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:27:30,00:27:36,6.000,Transición,10,Perdida,6,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:27:35,00:27:41,6.000,Transición,Rival,Pase corto,6,5,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:27:39,00:27:47,8.404,Transición,Rival,Pase largo,5,7,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:27:44,00:27:50,6.000,Transición,Rival,Pase corto,7,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:27:48,00:27:54,6.000,Transición,Rival,Remate atajado,8,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:33:08,00:33:14,6.000,Pelota Parada,3,Corner,7,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:33:18,00:33:24,6.000,Pelota Parada,3,Centro,7,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:33:19,00:33:25,6.000,Pelota Parada,2,Remate Aereo,8,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:33:44,00:33:53,9.183,Ataque combinado,Rival,Pase corto,2,1,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:33:50,00:33:56,6.000,Ataque combinado,Rival,Pase largo,4,6,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:33:56,00:34:07,10.633,Ataque combinado,Rival,Centro,9,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:34:04,00:34:10,6.000,Ataque combinado,Rival,Disputa suelo,8,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:34:11,00:34:17,6.000,Ataque combinado,Rival,Remate bloq,8,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:35:45,00:35:51,6.000,Ataque combinado,Rival,Pase largo,5,7,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:35:50,00:35:56,6.000,Ataque combinado,Rival,Gambeta,7,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:35:54,00:36:00,6.000,Ataque combinado,Rival,Centro,8,9,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:36:00,00:36:06,6.000,Ataque combinado,Rival,Remate atajado,9,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:37:42,00:37:48,6.000,Transición,8,Recuperacion,5,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:37:49,00:37:55,6.000,Transición,3,Remate pie,5,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:37:52,00:37:58,6.000,Transición,3,Gol,8,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:39:42,00:39:48,6.000,Pelota Parada,Rival,Corner,7,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:39:46,00:39:52,6.000,Pelota Parada,Rival,Centro,7,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:39:50,00:39:56,6.000,Pelota Parada,Rival,Remate Aereo,8,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,En contra,,00:39:54,00:40:00,6.000,Pelota Parada,Rival,Gol,8,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:41:53,00:41:59,6.000,Pelota Parada,10,Tiro libre,9,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:41:59,00:42:09,10.495,Pelota Parada,10,Centro,9,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:42:07,00:42:13,6.000,Pelota Parada,Rival,Despeje,8,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:42:10,00:42:16,6.000,Pelota Parada,3,Remate pie,8,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:42:15,00:42:21,6.000,Pelota Parada,3,Gol,8,Volver,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:44:31,00:44:37,6.000,Ataque Directo,6,Pase largo,5,8,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:44:35,00:44:47,12.388,Ataque Directo,7,Pase corto,8,7,
2022/03/02,Primer tiempo,Lanus,08:58:11,09:44:33,A favor,,00:44:46,00:44:52,6.000,Ataque Directo,9,Remate bloq,7,8,
