Session Start Date,Event,Session Name,Session Start,Session End,Tag Description,Tag Notes,Tag Start,Tag End,Tag Duration (secs),Tipo,Jugador,Categoria,Zonas1,Zonas2,Optional Column
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,00:23:25,00:23:31,6.000,Ataque combinado,Rival,Pase corto,5,5,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,00:23:28,00:23:34,6.000,Ataque combinado,Rival,Pase largo,5,9,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,00:23:34,00:23:40,6.000,Ataque combinado,Rival,Pase corto,9,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,00:23:38,00:23:44,6.000,Ataque combinado,Rival,Remate atajado,8,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,00:25:32,00:25:38,6.000,Pelota Parada,11,Tiro libre,4,Volver,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,00:25:37,00:25:43,6.000,Pelota Parada,11,Centro,4,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,00:25:40,00:25:46,6.000,Pelota Parada,6,Remate Aereo,8,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,00:25:43,00:25:49,6.000,Pelota Parada,9,Remate pie,8,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,00:25:47,00:25:53,6.000,Pelota Parada,9,Gol,8,Volver,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,00:27:43,00:27:49,6.000,Ataque Directo,4,Pase largo,6,9,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,00:27:47,00:27:53,6.000,Ataque Directo,9,Remate atajado,9,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,00:34:22,00:34:28,6.000,Ataque Directo,Rival,Recuperacion,7,Volver,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,00:34:26,00:34:32,6.000,Ataque Directo,Rival,Remate atajado,7,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,00:36:22,00:36:28,6.000,Ataque Directo,Rival,Gambeta,1,4,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,00:36:29,00:36:35,6.000,Ataque Directo,Rival,Pase corto,4,7,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,00:36:34,00:36:40,6.000,Ataque Directo,Rival,Gambeta,7,7,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,00:36:38,00:36:44,6.000,Ataque Directo,Rival,Remate atajado,7,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,00:53:57,00:54:03,6.000,Ataque Directo,Rival,Pase corto,4,5,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,00:54:02,00:54:08,6.000,Ataque Directo,Rival,Pase largo,5,9,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,00:54:06,00:54:12,6.000,Ataque Directo,Rival,Remate atajado,9,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,00:59:44,00:59:50,6.000,Pelota Parada,8,Tiro libre,5,Volver,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,00:59:47,00:59:53,6.000,Pelota Parada,8,Centro,5,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,00:59:53,00:59:59,6.000,Pelota Parada,2,Remate pie,8,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,00:59:57,01:00:03,6.000,Pelota Parada,2,Gol,8,Volver,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,01:03:13,01:03:19,6.000,Pelota Parada,3,Tiro libre,8,Volver,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,01:03:17,01:03:23,6.000,Pelota Parada,3,Remate atajado,8,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,01:26:19,01:26:25,6.000,Ataque combinado,Rival,Pase corto,5,5,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,01:26:25,01:26:31,6.000,Ataque combinado,Rival,Pase corto,8,7,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,01:26:28,01:26:34,6.000,Ataque combinado,Rival,Pase corto,7,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,01:26:33,01:26:39,6.000,Ataque combinado,Rival,Remate atajado,8,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,02:02:34,02:02:40,6.000,Pelota Parada,3,Tiro libre,4,Volver,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,02:02:38,02:02:44,6.000,Pelota Parada,3,Pase largo,4,6,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,02:02:42,02:02:48,6.000,Pelota Parada,4,Centro,9,7,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,02:02:47,02:02:53,6.000,Pelota Parada,8,Remate atajado,7,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,02:26:04,02:26:10,6.000,Transición,Rival,Recuperacion,8,Volver,
2022/03/16,Velez,Total,09:49:13,12:24:23,En contra,,02:26:09,02:26:15,6.000,Transición,Rival,Remate atajado,8,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,02:26:34,02:26:40,6.000,Ataque combinado,Suplente 4,Pase corto,7,7,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,02:26:38,02:26:44,6.000,Ataque combinado,3,Pase corto,7,8,
2022/03/16,Velez,Total,09:49:13,12:24:23,A favor,,02:26:42,02:26:48,6.000,Ataque combinado,9,Remate atajado,8,8,
